WhiteElo,BlackElo,Result,test
3371,3627,0-1,[1]
3627,3371,1-0,[1]
3815,3718,1/2-1/2,[1]
3486,3511,1-0,[1]
3511,3486,0-1,[1]
3486,3678,1/2-1/2,[1]
3678,3486,1/2-1/2,[1]
3486,3436,1-0,[1]
3436,3486,0-1,[1]
3486,3606,1/2-1/2,[1]
3606,3486,1/2-1/2,[1]
3486,3709,1/2-1/2,[1]
3709,3486,1/2-1/2,[1]
3486,3492,1-0,[1]
3492,3486,0-1,[1]
3486,3390,1-0,[1]
3390,3486,1/2-1/2,[1]
3486,3378,1-0,[1]
3378,3486,1/2-1/2,[1]
3486,3463,1-0,[1]
3463,3486,1/2-1/2,[1]
3486,3534,1-0,[1]
3534,3486,1/2-1/2,[1]
3486,3620,1/2-1/2,[1]
3620,3486,1/2-1/2,[1]
3486,3316,1-0,[1]
3316,3486,1/2-1/2,[1]
3486,3549,1-0,[1]
3549,3486,0-1,[1]
3486,3754,1/2-1/2,[1]
3754,3486,1/2-1/2,[1]
3486,3664,1-0,[1]
3664,3486,1/2-1/2,[1]
3486,3297,1-0,[1]
3297,3486,0-1,[1]
2918,3034,1/2-1/2,[1]
3004,3227,0-1,[1]
3040,2757,1-0,[1]
3042,2778,1-0,[1]
3102,3047,1/2-1/2,[1]
3113,3184,0-1,[1]
2824,2899,1-0,[1]
2891,3094,1/2-1/2,[1]
3034,3094,1/2-1/2,[1]
2741,2891,0-1,[1]
2899,3112,0-1,[1]
2965,2899,1-0,[1]
3047,3113,0-1,[1]
2757,3012,0-1,[1]
3227,3040,1-0,[1]
2918,3004,1/2-1/2,[1]
3004,3034,1-0,[1]
3040,2918,1-0,[1]
3012,3227,1/2-1/2,[1]
3042,2757,1/2-1/2,[1]
2899,3184,1/2-1/2,[1]
2824,2965,1/2-1/2,[1]
3112,3230,0-1,[1]
2891,2899,1-0,[1]
3034,2741,1-0,[1]
2899,3094,0-1,[1]
2965,3112,1/2-1/2,[1]
3047,2899,1-0,[1]
2778,2660,1-0,[1]
3227,3042,1-0,[1]
2918,3012,1/2-1/2,[1]
3004,3040,1-0,[1]
3040,3034,1/2-1/2,[1]
3012,3004,1/2-1/2,[1]
3042,2918,1/2-1/2,[1]
3102,3227,0-1,[1]
2660,2606,0-1,[1]
2899,2778,1-0,[1]
2824,3047,1/2-1/2,[1]
3112,3184,1/2-1/2,[1]
2891,2965,1/2-1/2,[1]
3094,3230,1/2-1/2,[1]
2741,2899,1/2-1/2,[1]
3034,2899,1/2-1/2,[1]
2965,3094,1/2-1/2,[1]
3184,2891,1/2-1/2,[1]
3047,3112,1/2-1/2,[1]
2778,2824,0-1,[1]
2606,2899,0-1,[1]
2757,2660,1-0,[1]
3227,3113,1-0,[1]
2918,3102,1/2-1/2,[1]
3004,3042,1/2-1/2,[1]
3040,3012,1-0,[1]
3012,3034,1/2-1/2,[1]
3042,3040,1/2-1/2,[1]
3102,3004,0-1,[1]
3113,2918,1/2-1/2,[1]
2899,2757,1-0,[1]
2824,2606,0-1,[1]
2891,3047,1/2-1/2,[1]
3094,3184,1/2-1/2,[1]
2741,2965,1-0,[1]
3034,3230,0-1,[1]
2965,2899,1-0,[1]
3047,3094,1/2-1/2,[1]
2778,2891,0-1,[1]
2757,2824,1/2-1/2,[1]
2918,2660,1-0,[1]
3004,3113,1/2-1/2,[1]
3040,3102,1-0,[1]
3012,3042,0-1,[1]
3042,3034,1-0,[1]
3102,3012,1/2-1/2,[1]
3113,3040,1-0,[1]
2899,2918,0-1,[1]
2891,2606,1-0,[1]
2899,3184,0-1,[1]
3230,2965,1-0,[1]
3034,2965,1-0,[1]
3184,3230,1/2-1/2,[1]
3047,2899,1-0,[1]
2778,2741,0-1,[1]
2757,2891,1/2-1/2,[1]
3227,3112,1-0,[1]
2918,2824,0-1,[1]
3004,2899,1/2-1/2,[1]
3012,3113,1/2-1/2,[1]
3042,3102,1-0,[1]
3102,3034,1/2-1/2,[1]
3113,3042,1/2-1/2,[1]
2899,3040,1/2-1/2,[1]
2824,3004,1/2-1/2,[1]
3112,2918,1-0,[1]
2741,2606,1/2-1/2,[1]
2899,2778,1-0,[1]
3230,3047,1-0,[1]
2965,3184,0-1,[1]
3034,3184,0-1,[1]
3047,2965,1-0,[1]
2606,2899,1/2-1/2,[1]
2757,2741,0-1,[1]
3227,3094,1/2-1/2,[1]
2918,2891,1/2-1/2,[1]
3004,3112,1/2-1/2,[1]
3040,2824,1/2-1/2,[1]
3012,2899,1/2-1/2,[1]
3102,3113,1/2-1/2,[1]
3113,3034,1/2-1/2,[1]
2899,3042,1/2-1/2,[1]
2824,3012,0-1,[1]
3112,3040,1-0,[1]
2891,3004,1/2-1/2,[1]
3094,2918,1-0,[1]
2899,2757,1-0,[1]
2965,2778,1-0,[1]
3184,3047,1-0,[1]
3034,3047,0-1,[1]
2918,2741,1/2-1/2,[1]
