Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
856,1401,1467,0-1,10,-,9,-,,,,
1381,1582,1576,1-0,9,-,-,-,,,,
1110,1899,1865,0-1,8,-,6,-,,,,
270,1317,1316,1-0,6,-,8,-,,,,
1333,2056,1931,1-0,-,-,-,-,,,,
1222,1712,1722,0-1,9,-,-,9,,,,
109,1495,1537,1-0,5,-,-,-,,,,
950,1815,1727,1-0,5,-,13,-,,,,
429,1393,1404,0-1,-,-,-,-,,,,
855,1078,1216,0-1,10,-,-,-,,,,
584,1725,1696,0-1,8,-,8,-,,,,
1221,1728,1793,1-0,7,-,9,-,,,,
380,1408,1392,0-1,8,-,7,-,,,,
269,1220,1252,1-0,-,-,13,-,,,,
1380,1500,1480,1-0,-,-,-,-,,,,
1332,882,889,0-1,-,-,-,-,,,,
1109,1632,1607,0-1,14,-,12,-,,,,
854,2017,1971,1-0,-,-,-,-,,,,
583,1304,1240,1-0,11,-,-,-,,,,
1220,1605,1552,0-1,-,-,6,-,,,,
428,1109,1096,1-0,-,-,6,-,,,,
379,1672,1729,0-1,-,-,-,13,,,,
268,1911,1874,1-0,10,-,11,-,,,,
1379,1489,1460,1-0,-,-,-,-,,,,
1108,1956,1975,1/2-1/2,-,-,-,-,,,,
949,1472,1489,0-1,7,-,9,-,,,,
1331,1450,1412,0-1,5,-,10,-,,,,
108,1035,1034,0-1,-,11,-,-,,,,
853,1729,1453,1-0,9,-,-,9,,,,
582,2042,2046,1-0,10,-,7,-,,,,
1219,846,881,1-0,-,13,12,-,,,,
378,963,937,1-0,-,-,-,-,,,,
267,1326,1304,0-1,5,-,5,-,,,,
427,1478,1390,1-0,12,-,13,-,,,,
948,1561,1554,1-0,-,-,-,-,,,,
1378,2039,1960,0-1,-,10,-,10,,,,
1107,1853,2000,0-1,-,10,7,-,,,,
581,1953,1986,0-1,13,-,5,-,,,,
107,1788,1792,0-1,-,10,-,-,,,,
1330,1460,1448,1-0,-,-,-,-,,,,
852,1050,1013,0-1,-,-,-,-,,,,
266,908,1010,0-1,-,-,-,8,,,,
947,2003,1965,1-0,-,-,5,-,,,,
1218,1785,1778,0-1,-,-,5,-,,,,
426,878,803,0-1,-,-,8,-,,,,
377,1817,1788,1-0,6,-,-,-,,,,
106,1928,1897,1-0,-,-,-,-,,,,
580,1176,1188,1-0,-,-,7,-,,,,
1377,1216,1216,0-1,-,-,-,-,,,,
1106,1941,1885,1-0,5,-,8,-,,,,
1329,1013,1001,1-0,7,-,11,-,,,,
851,703,849,1-0,-,-,-,-,,,,
1217,1302,1302,0-1,6,-,-,9,,,,
105,1309,1321,0-1,-,-,13,-,,,,
425,2154,2157,1-0,9,-,9,-,,,,
946,1565,1482,1-0,11,-,-,-,,,,
1376,1516,1462,0-1,7,-,9,-,,,,
1105,1694,1823,0-1,11,-,13,-,,,,
265,827,1007,0-1,-,-,-,9,,,,
1328,1038,1132,0-1,12,-,-,9,,,,
376,943,901,0-1,10,-,-,7,,,,
579,1560,1589,1-0,-,15,9,-,,,,
850,1548,1545,1-0,5,-,-,13,,,,
104,1508,1550,1-0,-,-,-,-,,,,
1216,1703,1716,0-1,6,-,-,-,,,,
424,1126,1238,0-1,9,-,-,12,,,,
264,1179,1234,0-1,12,-,12,-,,,,
375,1521,1549,0-1,9,-,10,-,,,,
945,1933,1994,0-1,7,-,4,-,,,,
578,1538,1584,1-0,10,-,14,-,,,,
1375,1345,1449,0-1,14,-,-,-,,,,
1327,1478,1483,0-1,8,-,-,8,,,,
1104,1294,1496,0-1,-,-,-,-,,,,
103,876,914,0-1,-,-,-,-,,,,
423,1897,2022,1/2-1/2,8,-,5,-,,,,
263,1043,1098,0-1,7,-,11,-,,,,
1215,1982,1974,0-1,8,-,9,-,,,,
944,1406,1442,1-0,7,-,9,-,,,,
849,1582,1500,0-1,-,-,-,-,,,,
374,1546,1558,0-1,7,-,-,-,,,,
1374,1690,1690,1-0,11,-,11,-,,,,
1103,1933,1992,0-1,5,-,6,-,,,,
577,1272,1290,0-1,-,14,10,-,,,,
1326,1789,1829,1-0,12,-,4,-,,,,
422,1750,1754,1-0,7,-,6,-,,,,
262,1217,1172,1-0,7,-,5,-,,,,
848,1101,1032,1-0,9,-,-,-,,,,
373,1069,1042,0-1,11,-,-,-,,,,
102,768,626,1-0,-,-,-,-,,,,
1373,1259,1251,1-0,9,-,-,-,,,,
1214,2133,2099,1-0,-,-,-,-,,,,
1325,1901,1905,1-0,8,-,-,-,,,,
