Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
17,2554,2588,0-1,"7,8,9,9","8,9","d4d3,c1g5,c3d5,c3d5","e8g8,e8g8"
21,2571,2568,0-1,"10,11,13,13,14,14,15,15","11,12,13,14,15","f3d2,f3d2,h4g5,h4g5,e1c1,e1c1,f3g1,f3g1","g4e2,e4d2,d8c7,e5e4,d8g5"
4,2521,2486,1/2-1/2,"8,9,10,10","10,11,12,13,14","e1g1,b1d2,g5h6,g5h6","h6f5,e7g5,e7g5,e8g8,e8g8"
8,2388,2545,0-1,"9,10,11,12",15,"f1e2,f1e2,c3b4,a1c1",c6c5
25,2511,2342,1-0,5,7,e1g1,e8g8
12,2570,2550,1-0,8,"9,11",e1c1,"c7d8,c7b8"
29,2431,2539,1-0,10,9,h2h3,f7f6
16,2518,2541,0-1,12,"5,6,7,8",e1g1,"d5d4,e7g5,e8g8,e8g8"
33,2676,2438,1-0,6,"4,5,6",e1g1,"c7c6,c8b7,e8g8"
20,2508,2515,1-0,6,15,e1g1,e6f5
7,2514,2403,0-1,6,"6,7",e1g1,"e8g8,b8d7"
0,2521,2516,1-0,"6,7,8","10,11,11,12,12,13,14,14","f3e5,e1g1,e1g1","f6d5,b6a6,b6a6,d7e5,d7e5,f6d7,d7c5,d7c5"
24,2435,2500,1-0,11,"12,13,14",e1g1,"c2g6,b6a6,b6a6"
11,2543,2418,1-0,9,"8,9,10",c1d2,"e7f5,c8d7,b6a7"
28,2717,2502,1-0,"12,13,14,15",4,"h4f6,b2c3,d2c4,c4d6",e8g8
6,2648,2475,1-0,7,5,e1g1,e8g8
3,2355,2518,0-1,9,6,h2h3,c7c6
15,2505,2507,0-1,"10,11","4,5","g5d8,e1c1","d7d6,e7e5"
32,2491,2589,0-1,-,"7,8",-,"g4e2,g7g6"
10,2500,2461,1-0,"9,10",10,"f2f3,g2g4",h7h5
1,2465,2507,0-1,5,5,c2c4,e8g8
9,2688,2668,0-1,"6,7,8,10",-,"e1g1,b1c3,d1b1,b1b5",-
19,2782,2783,0-1,"6,7,8,9,10,11",6,"e1g1,a2a4,e4e5,e4e5,d1d2,e2d3",b7b5
23,2583,2465,1-0,"7,8","12,13,14,15","c1e3,c1e3","e6f5,e6f5,d7e6,d6d5"
27,2521,2630,1-0,"10,11,12,13","4,5","c4b5,e2b5,c3e4,a4b5","d7d6,e8g8"
14,2632,2642,0-1,"5,6,7",7,"b2b3,e1g1,d4c5",e6e5
31,2554,2689,0-1,12,"9,10,11",e1c1,"d7d5,d7d5,c8f5"
18,2583,2514,0-1,6,"11,12,12,14,15",e1g1,"b5b4,a6b5,a6b5,e7c5,b5b4"
5,2402,2501,1-0,8,4,e5d6,d7d5
35,2752,2729,1-0,9,7,e1g1,e8g8
22,2500,2510,0-1,8,-,d4c6,-
2,2431,2516,0-1,-,5,-,e8g8
26,2753,2749,1-0,"7,8,9","10,11","c1f4,f4d6,b1d2","e8g8,c8d7"
13,2500,2500,1-0,7,-,e1c1,-
30,2500,2494,1-0,5,5,d2d4,e8g8
34,2665,2504,1-0,9,"6,7,8,9,10",d1b3,"a6b5,c7c5,c7c5,e8g8,c7c5"
36,2491,2630,0-1,"6,7,8,9,10,10","7,8,9,9,10,10","e1g1,e1g1,e1g1,e1g1,e1g1,e1g1","c8f5,f7f5,f7f6,f7f6,h7h5,h7h5"
37,2556,2659,0-1,7,8,e1g1,e8g8
39,2467,2528,1/2-1/2,"12,13,14,14","8,9,10,11,11,12,13,14,15","c3c4,f1d3,e1f1,e1f1","h7h6,d8f6,g7f6,c6e7,c6e7,c6e7,h6h5,h6h5,c7c6"
38,2695,2680,0-1,"8,9",6,"e1c1,e1c1",d7d6
41,2517,2352,1-0,10,"9,10,11",h2h3,"b7b6,b7b5,e8g8"
40,2548,2538,0-1,"4,5,6,7",7,"b5a4,e1g1,a4b3,e1g1",d7d6
42,2508,2421,1-0,5,7,c2c4,e8g8
45,2574,2662,1-0,"12,13,14,15",9,"b5c3,c4e6,e1e2,e1e2",d4e3
43,2459,2625,1-0,7,5,e1g1,c7c5
