Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
47,3047,3113,0-1,5,-,-,9,"4,5","8,9","d7c6,f7f6","f1e1,b1d2"
13,3486,3492,1-0,-,-,8,-,-,8,-,g1f3
3,3486,3511,1-0,7,-,-,-,7,"7,8,9",b4c3,"b2c3,d4c6,d1d8"
96,3094,3184,1/2-1/2,10,-,10,-,10,10,e8g8,f1e1
80,3184,2891,1/2-1/2,6,-,12,-,6,"7,8,9,10,11,12",f8c5,"c1f4,f3d2,f4e5,d2e4,e4c5,e2e3"
21,3486,3534,1-0,-,10,-,-,"9,10",-,"b7b5,f7f6",-
63,2778,2660,1-0,5,-,-,-,5,13,h7h5,e2f3
38,3042,2778,1-0,9,-,13,-,"7,8,9","11,12,12,13,13","e5e4,e4d3,c8e6","d1a4,b2c3,b2c3,f1e1,f1e1"
71,2660,2606,0-1,15,-,11,-,"14,15","9,10,11","a6a5,f8c8","c3d5,e4d5,f3d2"
119,3227,3112,1-0,11,-,8,-,"4,5,6,7,8,9,10,11",8,"d7d5,c6a5,c8d7,f8e7,e8g8,d8d7,d7d5,e7d6",b5d7
54,3042,2757,1/2-1/2,-,-,10,-,"11,12,13,14,15",10,"e6e5,d6e7,f6d5,c6a7,b6b5",g5h4
87,3004,3042,1/2-1/2,7,-,10,-,"5,6,7","6,7,8,9,10","f8d6,c6d5,b8c6","e1g1,c1g5,c2c4,b1d2,a1c1"
111,2891,2606,1-0,-,-,11,-,"7,8,9,10,11,12,13,13,14,14,15,15",11,"a7a6,d8d7,f6e4,f8g7,e8g8,f7f6,c8d7,c8d7,d7c6,d7c6,f6f5,f6f5",d1d6
103,2918,2660,1-0,6,-,-,-,6,-,f8d6,-
29,3486,3754,1/2-1/2,15,-,8,-,"8,9,10,15","7,8","e8g8,c6d4,c8e6,d3e2","b2e5,e5c3"
46,2965,2899,1-0,-,-,13,-,"8,9","6,7,8,9,10,11,12,13","d8a5,b4c3","f1c4,f3d4,g5f6,b2c3,e1f1,a1c1,g2g3,f1g2"
95,2891,3047,1/2-1/2,8,-,7,-,8,7,c8g4,e1g1
79,2965,3094,1/2-1/2,-,11,11,-,11,"7,8,10,11",e8g8,"e4e5,f2f4,e1c1,f1c4"
70,3102,3227,0-1,8,-,4,-,"6,7,8",4,"e7e6,d7d6,e6d5",f1e2
62,3047,2899,1-0,7,-,8,-,"6,7","7,8","f8e7,h7h6","f3d2,e2e4"
37,3040,2757,1-0,-,-,-,-,-,"8,9,10,11,12,13,14,15",-,"a2a4,b1c3,f2f4,c3e2,h2h3,e2d4,f1d3,e1g1"
118,2757,2891,1/2-1/2,8,-,7,-,8,7,f8e8,e1g1
53,3012,3227,1/2-1/2,13,-,12,-,"11,12,13",12,"f8e7,e8g8,c7c5",e1g1
86,2918,3102,1/2-1/2,10,-,10,-,10,"9,10,10",e8g8,"e1g1,d1c2,d1c2"
110,2899,2918,0-1,6,-,5,-,6,5,b8d7,e1g1
102,2757,2824,1/2-1/2,15,-,6,-,"8,9,10,11,12,13,14,15",6,"f6e8,c8g4,b8d7,d7b6,e8f6,b6c4,a8b8,f6h5",f1e2
45,2899,3112,0-1,4,-,9,-,4,"8,9",f8g7,"f3g5,d1a4"
28,3549,3486,0-1,-,-,-,13,-,"11,12,13,13",-,"h2h4,f3d2,d2e4,d2e4"
12,3709,3486,1/2-1/2,12,-,10,-,"9,11,12,12","7,8,9,10","e7e5,d7d6,c8e6,c8e6","d1g4,g4d1,f1d3,d1d2"
94,2824,2606,0-1,7,-,7,-,7,"5,6,7",e8g8,"f1d3,e1g1,e3e4"
20,3463,3486,1/2-1/2,8,-,8,-,"7,8","6,7,8","c7c6,e8g8","d4d5,e1g1,c1e3"
78,3034,2899,1/2-1/2,5,-,-,-,5,"9,10",d7d5,"c2c4,d1d8"
36,3004,3227,0-1,9,-,6,-,"8,9,9",6,"c7c5,g7g6,g7g6",f1d3
69,3042,2918,1/2-1/2,-,-,-,-,"8,10","6,7,8,9,10,11,12","b4c3,a5c3","f1c4,f3d4,b2c3,g5f6,e1f1,a1c1,c4b5"
61,2965,3112,1/2-1/2,-,-,-,-,-,-,-,-
2,3815,3718,1/2-1/2,7,-,12,-,7,"10,11,12",e7e6,"a1a8,d3b5,b1c3"
5,3486,3678,1/2-1/2,12,-,5,-,"11,12","4,5","h7h5,f6h7","f2f3,c1e3"
52,3040,2918,1-0,9,-,6,-,"6,7,8,9","5,6","e8g8,c8f5,f5d7,a7a6","b1c3,d4d5"
85,3227,3113,1-0,13,-,14,-,"7,8,9,10,11,12,13,13","10,11,12,13,13,14,14","c5d4,c8f5,d8b6,e7e6,f5d3,f8e7,c6e5,c6e5","f1d3,d2d3,e1g1,f4e5,f4e5,d3e2,d3e2"
101,2778,2891,0-1,13,-,8,-,"9,10,11,11,12,12,13,13",8,"e7f5,c5c4,e6f5,e6f5,b8c6,b8c6,f8e8,f8e8",f1d3
11,3486,3709,1/2-1/2,9,-,7,-,9,7,c8d7,f1e2
0,3371,3627,0-1,-,-,-,-,12,"8,9,10,11,12,13,14,15",d7e5,"g5e3,f2f3,d1d2,e1f2,g2g3,e4f5,a1d1,b2b3"
44,2741,2891,0-1,8,-,4,-,"7,8",4,"d6e5,b8c6",f1e2
27,3486,3549,1-0,-,-,-,-,-,-,-,-
93,2899,2757,1-0,9,-,12,-,"8,9","11,12","e7e6,a7a6","d2f3,c1g5"
19,3486,3463,1-0,8,-,7,-,"7,8",7,"e8g8,f8e8",e1g1
77,2741,2899,1/2-1/2,9,-,13,-,"6,7,8,9","8,9,10,11,12,13","a7a5,g8f6,b8d7,f6h5","e1g1,f1e1,d3f1,b1c3,h2h3,b2b4"
68,3012,3004,1/2-1/2,-,-,-,-,"7,8,9,11,12,13,14","6,7,8,12","c8g4,d6e5,d8d1,c6d4,d4b5,c7c6,a8d8","d2d4,d4e5,c1h6,c4b5"
60,2899,3094,0-1,12,-,15,-,"11,12","10,11,12,13,13,14,14,15,15","b7b6,c8b7","h3g5,e1g1,d1a4,g5e4,g5e4,e4d2,e4d2,g1h1,g1h1"
35,2918,3034,1/2-1/2,8,-,9,-,"6,7,8",9,"d7d5,e6d5,g8e7",a2a3
10,3606,3486,1/2-1/2,10,-,8,-,"9,10",8,"f8e8,a8b8",a2a4
109,3113,3040,1-0,11,-,9,-,11,"7,8,9",b7b6,"d1b3,b2c3,f1e2"
84,2757,2660,1-0,14,-,-,-,"8,9,10,11,12,13,14,14","13,14,15","b7b6,a7a5,d7e7,c8f5,b8d7,e7h4,g7g6,g7g6","e1g1,f2f4,f4e5"
100,3047,3094,1/2-1/2,6,-,5,-,6,5,b8c6,e1g1
43,3034,3094,1/2-1/2,10,-,6,-,"9,10",6,"d7d6,b8d7",g1f3
117,2778,2741,0-1,14,-,13,-,"13,14",13,"e8g8,f8e8",e1g1
18,3378,3486,1/2-1/2,10,-,-,-,"4,5,6,7,8,9,10","11,13,14,15","b8d7,g8f6,f5g4,g4h5,h5g6,e7e5,f8d6","h4g6,d3d4,e3e4,c3e4"
92,3113,2918,1/2-1/2,7,-,6,-,7,6,h7h6,e1g1
76,3094,3230,1/2-1/2,-,-,-,12,"6,7,8,9",12,"e5d4,c5d4,d5c4,d8d1",d1e1
51,3004,3034,1-0,8,-,9,-,"7,8","8,9","f8e7,b8c6","f1e1,c1f4"
59,3034,2741,1-0,6,-,9,-,"5,6","8,9","e7e6,a7a6","b1c3,g2g3"
67,3040,3034,1/2-1/2,11,-,8,-,"7,8,9,10,11","7,8","c5d4,e8g8,c8d7,f8e8,d8c8","e3d4,h2h3"
34,3297,3486,0-1,12,-,8,-,"11,12",8,"b8a6,d7d6",e2e4
9,3486,3606,1/2-1/2,8,-,8,-,8,8,e8g8,b1c3
124,3102,3034,1/2-1/2,7,-,7,-,7,"5,6,7",e8g8,"f1g2,e1g1,f1e1"
108,3102,3012,1/2-1/2,4,-,6,-,4,6,g7g6,c1f4
42,2891,3094,1/2-1/2,5,-,6,-,5,"5,6",d7d5,"d2d4,d1c2"
26,3316,3486,1/2-1/2,9,-,8,-,"7,8,9",8,"g8e7,e8g8,d5c4",e1g1
17,3486,3378,1-0,5,-,-,-,"4,5",14,"b8d7,h7h6",d4e6
8,3436,3486,0-1,8,-,-,-,8,-,c6c5,-
91,3102,3004,0-1,9,-,9,-,"7,8,9","6,7,8,9","f6d5,d8d5,e8g8","e4d5,c3d5,e1g1,c2c3"
75,2891,2965,1/2-1/2,-,-,-,-,"7,8,9,10,11,12,13,14,15,15","12,13,13,15,15","h5h4,f7f5,c8f5,e5d4,g8f6,d8d7,d6c5,f6d7,e7d6,e7d6","d4c5,d1d7,d1d7,a1d1,a1d1"
50,2918,3004,1/2-1/2,5,-,5,-,5,"4,5",e8g8,"e1g1,b1c3"
116,3047,2899,1-0,8,-,8,-,8,"7,8",e8g8,"e1g1,b1d2"
83,2606,2899,0-1,-,10,-,-,"9,10,10",-,"e8f8,c8g4,c8g4",-
58,2891,2899,1-0,7,-,8,-,7,8,g8e7,b1d2
107,3042,3034,1-0,12,-,8,-,"11,12",8,"c8b7,f6h5",a2a3
41,2824,2899,1-0,6,-,7,-,"4,5,6","5,6,7","f8e7,b8c6,d5c4","e1g1,d1a4,a4c4"
25,3486,3316,1-0,11,-,-,-,11,"11,12,13,14,15,15",c6d7,"b1d2,d1e2,d4c5,d2b3,e2d2,e2d2"
74,3112,3184,1/2-1/2,12,-,13,-,"4,5,6,9,11,11,12,12","5,6,7,8,9,10,11,12,13","g8f6,e5d4,c5b4,e4d2,c7d6,c7d6,d6d5,d6d5","c3d4,b1d2,c1d2,d4d5,d1d2,d5d6,e1g1,c4d5,f1d1"
49,3227,3040,1-0,10,-,11,-,"9,10","10,11","f8g7,a5c7","f1e1,d1c1"
82,2778,2824,0-1,-,7,9,-,7,"8,9",g8f6,"c3d5,g1f3"
57,3112,3230,0-1,12,-,13,-,"8,9,10,11,11,12,12","12,13,13","b7b6,d8c7,d7e5,c8b7,c8b7,f8e7,f8e7","d4e3,f4g3,f4g3"
122,3012,3113,1/2-1/2,7,-,6,-,7,6,h7h6,e1g1
115,3184,3230,1/2-1/2,11,-,14,-,"9,10,11,11","12,13,14","d6d8,b8c6,g8e7,g8e7","b3c3,f2f3,a1d1"
106,3012,3042,0-1,7,-,-,-,"6,7","12,13,14,15,15","e7e5,c8b7","b2b3,h2h3,e3g5,g5h4,g5h4"
99,2965,2899,1-0,8,-,4,-,8,4,e5d4,b1c3
33,3486,3297,1-0,10,-,10,-,10,"9,10",e8g8,"e1g1,a1b1"
16,3390,3486,1/2-1/2,-,-,-,-,"9,10,11,12,14,15","8,9,10,11,14","e6d5,f6d5,f7f5,d5c3,d8f6,g7f6","d4d5,c4d5,c2e4,e4f5,f5f6"
4,3511,3486,0-1,-,-,-,-,"13,14,15",-,"e6e5,g7f6,c8e6",-
24,3620,3486,1/2-1/2,10,-,8,-,"9,10","6,7,8","b7b6,f6e8","f1c4,g1e2,d2d3"
104,3004,3113,1/2-1/2,7,-,6,-,7,"5,6",c6d4,"f1e2,e1g1"
73,2824,3047,1/2-1/2,-,-,-,15,"7,8,9","12,13,14,15,15","f5e4,e4f3,d8h4","b1c3,h2h3,c1e3,b5c6,b5c6"
7,3486,3436,1-0,6,-,7,-,6,7,f8e7,c1b2
66,3004,3040,1-0,13,-,-,-,"10,11,12,13","9,10,11,12,13,14","d6e5,f6d5,g7e5,e7e6","e4e5,f3e5,c3d5,e1g1,f1e1,e1e5"
81,3047,3112,1/2-1/2,8,-,7,-,"5,6,7,8","5,6,7","c7c6,c6d5,e8g8,b8c6","c4d5,b1c3,e1g1"
1,3627,3371,1-0,14,-,9,-,"7,8,9,10,14","6,7,8,9","c6a5,c7c5,e8g8,d8a5,g4f3","d4d5,b2b4,b4a5,d2c1"
114,3034,2965,1-0,12,-,8,-,12,"5,6,7,8",b8d7,"c1b2,b4b5,a2a4,e2e3"
90,3042,3040,1/2-1/2,12,-,10,-,"11,11,12,12","8,9,9,10,10","c6b8,c6b8,b8d7,b8d7","f1d3,d1d3,d1d3,a2a3,a2a3"
32,3664,3486,1/2-1/2,7,-,5,-,7,"4,5",e5d4,"g1f3,f1e2"
15,3486,3390,1-0,15,-,6,-,"10,11,12,13,14,15",6,"e5e4,f6d5,e7g5,g5e7,a6b8,a7a6",d4d5
98,3034,3230,0-1,-,-,6,-,"8,9,10,11,12,15",6,"f6g4,e7e5,a7a5,g4f6,g8h7,f6h5",c1g5
23,3486,3620,1/2-1/2,10,-,8,-,"9,10","7,8","b7c6,f6d7","f1b5,b5c6"
72,2899,2778,1-0,11,-,-,13,"8,9,10,11","10,11,12,13","a7a6,c8d7,d5c4,f6d5","e1g1,b1c3,b2c3,a1b1"
40,3113,3184,0-1,12,-,11,-,"11,12,12",11,"e8g8,f8e8,f8e8",e1g1
65,2918,3012,1/2-1/2,9,-,9,-,"8,9",9,"f8b4,e8g8",c1d2
56,2824,2965,1/2-1/2,-,-,10,-,-,"8,9,10",-,"f1c4,e1e2,h1f1"
113,3230,2965,1-0,-,12,-,-,"10,11,12","4,5,6,7,8,9,10,10,11,11,12,12,13,13,14,14","f7f5,a7a6,g7g6","d2c3,d1f3,e4d5,f3d5,c1d2,g1e2,e2g3,e2g3,e1c1,e1c1,c3c4,c3c4,f1d3,f1d3,h1e1,h1e1"
89,3012,3034,1/2-1/2,12,-,6,-,"10,11,12","5,6","d8e7,c5b6,f8e8","f3e5,d2d4"
31,3486,3664,1-0,8,-,5,-,"7,8","4,5","a7a5,b8a6","g1f3,f1e2"
105,3040,3102,1-0,9,-,9,-,"8,9","8,9,9","d8d6,e8g8","e1g1,b5c6,b5c6"
48,2757,3012,0-1,-,-,13,-,-,"9,10,11,13",-,"h4h5,c2c3,d3b5,b5b6"
14,3492,3486,0-1,8,-,9,-,8,"8,9",h7h6,"c2c4,b1c3"
97,2741,2965,1-0,-,10,13,-,10,"10,11,12,12,13",g7g6,"f4a4,d2g5,c3e4,c3e4,g5f6"
6,3678,3486,1/2-1/2,12,-,5,-,"11,12","4,5","h7h5,f6h7","f2f3,c1e3"
22,3534,3486,1/2-1/2,11,-,-,13,"10,11","10,11,13,13","c6d4,g8f6","e1g1,f4e6,a2a4,a2a4"
120,2918,2824,0-1,-,-,10,-,-,10,-,g1f3
39,3102,3047,1/2-1/2,-,-,-,-,12,-,d8c8,-
64,3227,3042,1-0,-,-,7,-,"6,7,8,9,10,11,13",7,"f8e7,e8g8,g6h8,c8g4,f7f5,g4e2,f5e4",h4h5
55,2899,3184,1/2-1/2,10,-,-,-,"4,5,6,7,8,9,10","6,7,8,9","d8d7,b8c6,d6d5,e7e6,b7b6,a8d8,g8e7","b1d2,d1e2,d2b3,e1g1"
112,2899,3184,0-1,15,-,14,-,"11,12,13,14,15","10,11,12,13,14","f6d7,f7f6,d7f6,e8g8,c6c5","e4e5,f3f4,e5f6,e3d4,e1g1"
30,3754,3486,1/2-1/2,12,-,7,-,"11,12",7,"a8b8,c8b7",d2d3
88,3040,3012,1-0,9,-,10,-,"7,8,9","9,10,10","f8g7,g8f6,d8a5","b1c3,d4c2,d4c2"
121,3004,2899,1/2-1/2,9,-,9,-,"8,9","6,7,8,9","d8f6,e8g8","f1c4,g5f6,e1g1,e4e5"
125,3113,3042,1/2-1/2,5,-,9,-,"4,5","6,7,8,9","h7h6,f8c5","b2b4,a2a4,c4b3,b1d2"
123,3042,3102,1-0,-,-,-,-,"12,13,14,15","8,9,10,11,14,15","d4a7,f8h7,h7g5,f6d7","g2g3,f3d2,d1f3,c3e2,h4g5,f1h3"
126,2899,3040,1/2-1/2,4,-,-,-,4,-,h7h6,-
128,3112,2918,1-0,-,15,-,-,"13,14,15",-,"e5e4,e7e5,e4e3",-
127,2824,3004,1/2-1/2,6,-,9,-,6,"8,9",c7c5,"f3d4,b2b3"
130,2899,2778,1-0,-,-,-,6,-,6,-,b1c3
129,2741,2606,1/2-1/2,11,-,-,-,"8,9,10,11",14,"f5g4,g4h5,h5g6,a8c8",e2e4
131,3230,3047,1-0,5,-,11,-,"4,5","7,8,9,10,11","b7c6,f8g7","c2c4,b1c3,d2d4,f3d4,d4e6"
133,3034,3184,0-1,7,-,-,-,7,-,c7c6,-
132,2965,3184,0-1,7,-,6,-,"5,6,7","5,6","d7d6,e8g8,c7c6","d2d4,e1g1"
134,3047,2965,1-0,12,-,7,-,"9,10,11,11,12,12","5,7","a7a6,b8c6,d7c5,d7c5,b7b5,b7b5","g5e7,d1d2"
135,2606,2899,1/2-1/2,11,-,-,-,"6,7,8,9,10,11","5,6,7,8,9,10,11,12","e5e4,c6e5,c7c5,c5d4,f6e4,e5g6","b2c3,f3d4,f2f3,f3e4,e3d4,e1g1,e2d3,c1a3"
136,2757,2741,0-1,4,-,-,-,4,15,g8f6,c2c3
137,3227,3094,1/2-1/2,6,-,14,-,6,"12,13,14",e7e6,"e3d2,c2c3,f3e5"
138,2918,2891,1/2-1/2,10,-,10,-,10,"9,10",e8g8,"e1g1,d2d3"
139,3004,3112,1/2-1/2,15,-,-,-,15,-,a8d8,-
140,3040,2824,1/2-1/2,-,-,6,-,15,"4,5,6",b8d7,"d1b3,b3c4,e2e4"
141,3012,2899,1/2-1/2,4,-,-,-,4,"14,15",c8f5,"d1f1,c3a4"
142,3102,3113,1/2-1/2,8,-,8,-,"5,6,7,8",8,"d8d5,d5a5,f8e7,e8g8",c1g5
143,3113,3034,1/2-1/2,-,14,8,-,"12,13,14",8,"g7d4,d8e7,f5e4",h2h4
144,2899,3042,1/2-1/2,-,7,9,-,7,"6,7,8,9",d8a5,"e1c1,c1b1,g1h3,g2g4"
146,3112,3040,1-0,-,-,9,-,10,"5,6,7,8,9",c8g4,"e2e4,b2c3,c1e3,d1d2,a1c1"
145,2824,3012,0-1,6,-,5,-,6,5,c7c6,e1g1
147,2891,3004,1/2-1/2,-,15,5,-,"7,8,9,10,11,12,14,15,15",5,"d6c5,f8d8,b7b6,f6e8,c8b7,g7c3,d8c8,e8c7,e8c7",f1e2
148,3094,2918,1-0,7,-,7,-,7,7,e8g8,d1c2
149,2899,2757,1-0,8,-,9,-,"7,8","7,8,9","e4f6,d5c4","e1g1,d3c4,f1e1"
150,2965,2778,1-0,-,-,-,-,"12,13,15",8,"b4d6,a7a6,f6g4",d1d8
152,3034,3047,0-1,14,-,-,-,"11,12,13,14","10,11,11","g7h6,e7f7,e8f7,d7e8","c1h6,g4h5,g4h5"
153,2918,2741,1/2-1/2,-,-,12,-,"14,15","11,12","d6d5,c6a5","d1d2,g1f3"
151,3184,3047,1-0,8,-,8,-,"7,8","7,8","b8a6,e8g8","e1g1,a1b1"
154,3004,3094,1/2-1/2,14,-,8,-,"10,11,12,13,14","4,5,6,7,8","c6e5,g7e5,e7e6,e5c7,e6d5","c4d5,e2e4,b2c3,a1b1,f1e2"
155,3040,2891,1-0,-,-,5,-,"11,12,13,14,15",5,"b8c6,g4e6,c6b4,a8c8,g7h8",b1c3
