Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
0,1449,1395,1-0,-,-,-,11,"6,7,8,9","7,8,9,10,11,11","c3a4,e1g1,f3d4,c1g5","c6d4,c5d4,e7d5,e8g8,e8g8,e8g8"
1,1740,1926,1-0,-,-,-,-,"5,6,7,8,9,10,11,12,13,14,15",-,"e1g1,e1g1,e1g1,g5f3,f3h4,e1g1,e1g1,e1g1,b3d1,e1g1,f3h4",-
2,1302,1266,0-1,-,-,7,-,"5,6,7,8,9,10,11,12,13,14,15","6,7","c4b3,d2d4,d3d4,f2f4,c3e2,g5f3,g2g4,g2g4,g2g4,d3e4,d1d6","e8g8,e8g8"
3,1716,1745,1-0,-,10,-,-,"8,9,10,10","11,12,13","e3e4,e3e4,e3e4,e3e4","b7b6,c7b6,f7e6"
4,1763,1782,1-0,-,-,5,-,"10,11,12,13","4,5","f3h4,d1d6,g5h4,d1d3","e8g8,b8c6"
5,1494,1526,0-1,11,-,12,-,"7,8,9,10,11","11,12","c3e2,b5f1,a4b3,c3e2,d1d3","b4c3,c6a5"
6,1833,1746,1-0,14,-,-,-,"13,14",-,"g2g3,g2g3",-
7,1842,1840,1-0,7,-,5,-,7,"4,5",d3d4,"e8g8,e8g8"
8,1672,1633,0-1,8,-,-,-,"4,5,6,7,8",-,"b1c3,d2d4,e4e5,b1d2,e1g1",-
9,1949,1979,1-0,8,-,8,-,8,8,d2d4,d5d4
10,1488,1493,1-0,9,-,14,-,9,"9,10,11,12,13,14",e1g1,"c6a5,b7b5,c6a5,c6a5,c7c5,c7c5"
11,2158,2111,1-0,8,-,-,-,8,-,e1g1,-
12,1445,1462,0-1,6,-,7,-,6,7,d3f5,f5d3
13,1026,1044,1-0,-,-,5,-,"13,14,15",5,"c2c3,f3d1,f1g2",a7a5
14,1648,1614,0-1,11,-,8,-,"9,11",8,"e1c1,h2h3",h7h6
15,1709,1768,1-0,10,-,-,-,10,"11,13,14",h3h4,"f7f6,e5f4,e7e5"
16,1996,2124,0-1,-,12,7,-,"11,12",7,"d5d6,e1c1",e8g8
17,1508,1501,1-0,5,-,8,-,"4,5","5,6,7,8","b1c3,b1c3","d7d6,h7h6,f7e6,c5b6"
18,1816,1823,0-1,7,-,8,-,"4,5,6,7",8,"c2c3,f3d4,c4b3,b1c3",f6e4
19,1601,1638,1-0,4,-,5,-,4,5,f3g5,f6e4
20,1802,1809,1-0,10,-,-,-,"9,10","6,7,8,9,10,11,12,13,14","e4e5,e4e5","b7c6,b7c6,f6e4,e8g8,e8g8,d8d7,f7e6,e8g8,e8g8"
21,1794,1800,1-0,9,-,14,-,"7,8,9","12,13,14","e3d4,e3d4,c4c5","b6c7,b6c7,b7b6"
22,1382,1363,1-0,11,-,11,-,"6,7,8,9,10,11","9,10,11","b5c6,c2c4,d1a4,f3e5,f4e5,d2e4","d6e5,f6d7,f7f6"
23,1296,1299,0-1,-,-,-,-,"12,13,14,15",8,"f3h4,e4d5,a8c7,a8c7",f6d6
24,820,815,1-0,-,-,-,-,"12,13,14,15","10,11","c1b2,b7e4,f3e5,e5d7","f7f5,f7f5"
25,1998,2019,0-1,8,-,-,-,8,"9,10,11,12",d4d5,"f6h7,f6h5,h8g8,f6g8"
26,976,884,1-0,14,-,-,-,"5,6,7,8,9,10,11,12,13,14","12,13","c3d5,c3d5,a2b3,c3d5,a5c5,d1f3,f3f6,c5c7,a5a3,h1g1","h8g8,h8g8"
27,1716,1720,1/2-1/2,-,15,8,-,"10,13,13,14,14,15,15",8,"c3d5,c4d5,c4d5,d5f3,d5f3,e1c1,e1c1",d7d5
28,1399,1402,0-1,13,-,-,13,13,13,d1e2,b4d3
29,2167,2245,0-1,6,-,15,-,6,"12,13,14,15,15",e1g1,"b7c6,h3g4,g4f3,b6d7,b6d7"
