Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
10,1930,1941,1-0,11,-,10,-,11,"9,10",e1g1,"e6d5,e8g8"
0,1921,1840,0-1,-,-,-,-,"12,13,14,15",-,"b2b3,a2b3,b3a4,a1a4",-
11,1427,1480,0-1,8,-,7,-,"5,6,7,8",7,"d2d4,d1e2,c1g5,f4g5",f6d5
6,1907,1926,1-0,10,-,9,-,10,9,d3b5,e8g8
8,1436,1525,0-1,-,-,-,9,"13,14,15",9,"e1c1,b3b4,e1c1",f7f6
3,1458,1472,1/2-1/2,9,-,11,-,"5,6,7,8,9","8,9,10,11","d2d4,d2d4,c1b2,f2f4,e2f4","e5f3,e5f3,b7b5,c8d7"
4,1567,1566,1-0,-,-,5,-,"7,8",5,"e3g5,e3g5",d7d5
16,1642,1587,1-0,7,-,-,-,7,-,a2a4,-
1,1560,1574,1-0,8,-,-,-,"6,7,8","11,12,13,14,15,15","b1a3,e4d5,d3b5","b8d7,d8d5,d4d3,c3b2,d4c3,d4c3"
7,1815,1789,0-1,-,-,-,-,"4,5",-,"f3d4,b5d3",-
5,1406,1401,1-0,-,-,-,-,"9,10,11,12,13,14,15",-,"c3c4,f3e5,c3c4,c3c4,d4e5,d1e2,e2g4",-
9,2238,2281,1-0,8,-,7,-,8,7,d3d4,e8g8
2,1186,1063,1-0,-,-,-,-,-,-,-,-
17,1322,1353,0-1,12,-,10,-,"11,12",10,"e1g1,e1g1",e7f5
15,1474,1479,0-1,-,12,-,11,"11,12,12","7,8,9,10,11","e1g1,e1c1,e1c1","h7h5,e6e5,c6d4,h7h5,c6d4"
20,1583,1597,0-1,7,-,6,-,7,6,e1g1,d7d5
13,981,946,1-0,15,-,-,-,"5,6,7,8,9,10,11,12,13,15,15","5,6,7","e1g1,d2c3,d1e2,d1d8,f3e5,e5f7,f7e5,g5e4,e1g1,e1g1,e1g1","b4c3,a7a6,d7c6"
14,1762,1776,0-1,6,-,-,14,6,"6,7,8,10,11,11,12,12,13,13,14,14",c2c3,"e8g8,f6d5,c6d4,d4f3,e5d4,e5d4,d4f2,d4f2,f2e1,f2e1,f6g6,f6g6"
21,1570,1568,1-0,-,10,-,-,10,-,e1c1,-
23,1408,1428,1-0,12,-,6,-,12,6,a2a3,h7h6
22,1358,1366,1-0,9,-,13,-,9,"11,12,13",e1g1,"g7e5,c7e5,c8d7"
28,891,972,1-0,-,-,-,-,-,-,-,-
19,1115,1004,1-0,-,-,11,-,"11,12,13,14,15,15","10,11","f3e5,e1c1,e5d7,e1c1,e1c1,e1c1","c8g4,d7e6"
12,1394,1439,1-0,15,-,15,-,"13,14,15","4,5,6,7,8,9,10,11,12,13,14,15","c3e4,c3e4,e1g1","b4a5,b4c3,d7d6,d7d5,c5a7,c6e5,e5f3,c5b6,c8f5,f6e4,e8g8,e8g8"
24,1674,1749,0-1,-,-,-,-,"6,7","6,7","g1f3,d2c1","c7c5,e4c3"
27,2193,2086,1-0,7,-,5,-,7,5,d2d4,e8g8
33,978,992,0-1,-,-,-,-,-,-,-,-
25,1136,1164,1/2-1/2,10,-,9,-,"8,9,10",9,"e1g1,g5f6,e4g5",f6e4
26,1647,1626,0-1,13,-,-,-,"11,12,12,13,13",8,"g1e2,d6e7,d6e7,e1g1,e1g1",d8a5
30,1991,2017,0-1,4,-,11,-,4,11,d2d4,e8g8
29,1487,1501,1-0,9,-,7,-,9,"6,7",h2h4,"d7d5,d7d6"
18,1632,1627,1-0,-,-,5,-,"7,8,9,10,10,11,11,12,12,13,13,14,14,15,15",5,"c4d5,c4d5,a2a3,d3h7,d3h7,h7d3,h7d3,e1g1,e1g1,g5f4,e1g1,a3b4,a3b4,h2h4,e1g1",c7c5
37,2094,2041,1-0,-,11,9,-,11,9,e1c1,d7d6
32,1103,1098,1-0,-,12,5,-,"9,11,11,12,12",5,"c7d6,c7d6,c7d6,d3a3,d3a3",d7d6
36,1787,1839,1-0,8,-,9,-,8,"6,7,8,9",a2a3,"d7d5,c8f5,e8g8,e8g8"
35,1267,1308,1-0,9,-,9,-,"4,5,6,7,8,9",9,"b1c3,d2d4,c3d4,f3d4,d4f3,e1g1",e8g8
41,1636,1824,0-1,9,-,10,-,9,10,d1f3,e8g8
43,1717,1713,0-1,-,-,-,-,-,-,-,-
39,1810,1742,1-0,10,-,-,10,"7,8,9,10","9,10","e4c2,d1b3,e4f3,g2g3","e7e6,f8e7"
38,1570,1600,1/2-1/2,7,-,8,-,"4,5,6,7","5,6,7,8","e1g1,e1g1,d2d3,e1g1","d7c6,c8e6,f6d7,h7h6"
31,1501,1528,0-1,-,-,13,-,"10,11,13,14,14,15,15","10,11,12,13","e1g1,a1c1,b5d3,e1g1,e1g1,e1g1,e1g1","b4c3,b4c3,e8g8,e8g8"
44,924,764,1-0,-,-,5,-,-,5,-,c7c5
49,1802,2064,0-1,-,-,-,-,-,-,-,-
42,1337,1339,0-1,10,-,7,-,"8,9,10",7,"a2a3,d2c3,e2a6",e8g8
48,1888,1916,1-0,8,-,10,-,8,"6,7,8,9,10",e1g1,"e8g8,e8g8,e8g8,e8g8,e8g8"
40,2014,2002,1-0,-,-,-,-,"8,9,11,12,14,14,15,15",-,"e1g1,e1g1,e1g1,e1g1,g5f7,g5f7,f7h8,f7h8",-
