Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
73001,1766,1851,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73007,1993,1974,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0","1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
73006,1666,1689,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0"
73002,1497,1374,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1","1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73000,1762,1679,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0"
73005,1765,1749,1-0,"1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73004,1859,1899,1-0,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73003,1020,1027,0-1,"1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1"
73009,1874,1906,0-1,"1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
73008,1581,1654,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1","1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0"
73010,1367,1650,0-1,"1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1"
73013,1613,1640,1-0,"1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
73011,1973,1932,1-0,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0"
73017,1752,1824,1-0,"1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73016,2103,2076,0-1,"1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73014,2116,2077,1-0,"1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0","0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73012,971,966,1-0,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0","0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1","1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73018,2137,2097,0-1,"1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73015,2031,2029,1/2-1/2,"1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0","0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
73019,1996,1985,0-1,"1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0","1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1"
73021,1539,1646,0-1,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
