Id,WhiteElo,BlackElo,Result,WhiteKnight_b1,WhiteKnight_g1,WhiteBishop_c1,WhiteBishop_f1,BlackKnight_b8,BlackKnight_g8,BlackBishop_c8,BlackBishop_f8
56,2824,2965,1/2-1/2,4,2,21,9,6,2,26,7
39,3102,3047,1/2-1/2,5,3,7,18,5,6,7,23
2,3815,3718,1/2-1/2,13,6,18,4,8,6,5,9
26,3316,3486,1/2-1/2,8,6,14,5,4,7,33,6
60,2899,3094,0-1,4,10,8,3,2,3,12,9
43,3034,3094,1/2-1/2,2,7,11,8,10,3,14,5
9,3486,3606,1/2-1/2,9,7,11,3,5,1,17,7
30,3754,3486,1/2-1/2,4,10,13,3,5,6,12,4
47,3047,3113,0-1,10,2,17,3,2,10,6,19
13,3486,3492,1-0,7,9,2,23,5,2,3,7
17,3486,3378,1-0,8,1,7,3,4,6,3,13
51,3004,3034,1-0,4,3,10,6,8,2,28,7
34,3297,3486,0-1,6,4,14,10,11,1,16,7
21,3486,3534,1-0,5,9,8,12,19,8,18,12
55,2899,3184,1/2-1/2,7,2,11,3,5,10,3,15
38,3042,2778,1-0,11,1,15,6,5,2,9,11
4,3511,3486,0-1,5,2,9,25,5,4,15,16
25,3486,3316,1-0,12,10,6,5,4,6,8,13
8,3436,3486,0-1,5,1,24,7,4,5,7,17
59,3034,2741,1-0,9,3,15,4,4,2,19,7
42,2891,3094,1/2-1/2,11,1,8,4,8,2,20,4
29,3486,3754,1/2-1/2,4,14,7,3,5,6,10,4
63,2778,2660,1-0,11,3,10,4,10,2,3,12
46,2965,2899,1-0,4,1,6,7,15,3,29,5
12,3709,3486,1/2-1/2,7,2,6,10,2,6,12,5
16,3390,3486,1/2-1/2,4,7,5,26,18,4,3,7
50,2918,3004,1/2-1/2,6,3,12,4,8,1,10,3
33,3486,3297,1-0,7,4,15,9,9,1,16,8
20,3463,3486,1/2-1/2,4,2,9,6,4,5,11,2
54,3042,2757,1/2-1/2,7,5,4,10,4,2,8,9
37,3040,2757,1-0,10,2,22,15,5,7,19,3
7,3486,3436,1-0,11,1,8,5,4,5,10,6
24,3620,3486,1/2-1/2,4,8,11,7,7,5,13,3
58,2891,2899,1-0,9,2,8,6,15,7,13,6
41,2824,2899,1-0,10,3,13,2,5,2,11,4
0,3371,3627,0-1,4,5,8,22,5,7,16,2
28,3549,3486,0-1,3,11,19,5,6,10,12,7
62,3047,2899,1-0,6,5,15,3,11,1,4,6
45,2899,3112,0-1,11,1,28,3,3,7,13,4
11,3486,3709,1/2-1/2,7,2,6,8,2,6,9,5
6,3678,3486,1/2-1/2,3,7,6,10,7,1,14,3
3,3486,3511,1-0,5,2,13,6,5,4,12,6
15,3486,3390,1-0,4,6,5,9,8,4,3,5
49,3227,3040,1-0,13,3,9,8,2,6,16,9
32,3664,3486,1/2-1/2,3,5,11,6,10,1,24,3
19,3486,3463,1-0,4,2,7,6,4,6,13,2
1,3627,3371,1-0,3,5,4,13,6,5,11,2
53,3012,3227,1/2-1/2,14,3,19,10,16,10,5,11
36,3004,3227,0-1,5,2,4,7,10,5,23,3
10,3606,3486,1/2-1/2,7,8,11,3,5,1,12,7
23,3486,3620,1/2-1/2,4,6,20,8,5,6,12,3
57,3112,3230,0-1,3,2,10,7,6,2,11,12
40,3113,3184,0-1,11,2,6,10,7,3,9,10
22,3534,3486,1/2-1/2,5,9,18,8,9,11,8,7
27,3486,3549,1-0,3,8,17,5,16,17,25,6
61,2965,3112,1/2-1/2,0,4,2,0,0,0,0,0
44,2741,2891,0-1,3,6,9,5,8,3,10,2
14,3492,3486,0-1,10,7,2,6,10,2,3,7
48,2757,3012,0-1,8,15,2,17,10,1,16,8
31,3486,3664,1-0,3,5,9,6,8,1,11,3
18,3378,3486,1/2-1/2,5,1,20,3,4,5,3,10
52,3040,2918,1-0,6,1,21,5,13,1,7,4
35,2918,3034,1/2-1/2,2,5,9,4,3,8,10,4
5,3486,3678,1/2-1/2,3,7,6,10,7,1,15,3
64,3227,3042,1-0,9,5,17,4,17,4,9,6
65,2918,3012,1/2-1/2,6,2,10,7,6,3,18,8
66,3004,3040,1-0,7,1,17,9,4,3,15,8
67,3040,3034,1/2-1/2,3,6,10,4,2,3,9,6
68,3012,3004,1/2-1/2,1,6,9,3,6,5,7,3
69,3042,2918,1/2-1/2,4,3,6,7,19,1,26,5
70,3102,3227,0-1,7,2,14,5,12,1,9,3
71,2660,2606,0-1,2,3,16,13,7,4,13,8
72,2899,2778,1-0,12,7,4,6,6,4,9,16
73,2824,3047,1/2-1/2,13,3,15,5,4,11,14,2
74,3112,3184,1/2-1/2,7,2,8,3,2,4,19,3
75,2891,2965,1/2-1/2,4,6,12,3,3,11,9,4
76,3094,3230,1/2-1/2,4,1,16,5,2,4,11,16
77,2741,2899,1/2-1/2,12,4,7,5,1,7,18,5
78,3034,2899,1/2-1/2,12,4,15,3,3,4,13,8
79,2965,3094,1/2-1/2,2,3,6,12,5,6,19,3
80,3184,2891,1/2-1/2,17,3,8,5,10,1,18,6
81,3047,3112,1/2-1/2,7,4,9,2,8,4,9,2
82,2778,2824,0-1,2,10,6,32,4,7,11,6
83,2606,2899,0-1,3,4,7,9,2,14,10,7
84,2757,2660,1-0,4,5,6,13,1,15,11,3
85,3227,3113,1-0,5,7,2,11,6,1,8,12
86,2918,3102,1/2-1/2,6,3,2,9,6,2,3,9
87,3004,3042,1/2-1/2,10,4,8,2,7,2,8,5
88,3040,3012,1-0,10,1,8,6,2,8,6,7
89,3012,3034,1/2-1/2,15,3,13,9,14,4,13,2
90,3042,3040,1/2-1/2,4,2,6,9,4,8,2,6
91,3102,3004,0-1,4,3,26,6,4,5,12,3
92,3113,2918,1/2-1/2,19,4,5,6,8,2,3,5
93,2899,2757,1-0,8,2,13,7,7,10,6,3
94,2824,2606,0-1,5,1,13,6,11,1,6,4
95,2891,3047,1/2-1/2,2,6,16,7,10,4,8,6
96,3094,3184,1/2-1/2,3,6,16,9,9,1,3,8
97,2741,2965,1-0,7,2,9,17,7,2,8,11
98,3034,3230,0-1,4,5,7,14,13,1,20,5
99,2965,2899,1-0,5,7,12,2,12,1,0,3
100,3047,3094,1/2-1/2,2,3,10,5,6,3,10,4
101,2778,2891,0-1,2,10,7,9,12,7,19,3
102,2757,2824,1/2-1/2,4,5,17,7,10,3,9,5
103,2918,2660,1-0,11,4,7,5,1,17,16,6
104,3004,3113,1/2-1/2,2,3,12,6,3,2,9,4
105,3040,3102,1-0,4,2,17,7,5,7,2,4
106,3012,3042,0-1,2,5,12,4,3,2,7,14
107,3042,3034,1-0,5,3,6,10,5,3,11,7
108,3102,3012,1/2-1/2,5,3,7,2,9,3,7,5
109,3113,3040,1-0,6,1,12,10,10,3,12,6
110,2899,2918,0-1,0,2,0,5,6,4,0,2
111,2891,2606,1-0,4,2,9,6,6,3,13,10
112,2899,3184,0-1,26,3,7,10,2,7,17,9
113,3230,2965,1-0,3,10,9,14,5,2,9,3
114,3034,2965,1-0,14,4,6,11,12,3,15,4
115,3184,3230,1/2-1/2,4,6,8,10,10,11,15,4
116,3047,2899,1-0,9,5,2,7,7,2,11,6
117,2778,2741,0-1,16,1,11,12,8,10,18,9
118,2757,2891,1/2-1/2,3,2,21,7,10,4,9,6
119,3227,3112,1-0,17,3,15,2,2,3,6,7
120,2918,2824,0-1,10,11,5,17,15,2,31,9
121,3004,2899,1/2-1/2,4,1,6,7,22,3,13,5
122,3012,3113,1/2-1/2,2,5,3,6,10,3,17,5
123,3042,3102,1-0,8,4,6,16,1,6,22,7
124,3102,3034,1/2-1/2,2,3,10,6,9,2,23,4
125,3113,3042,1/2-1/2,10,2,13,3,2,3,10,5
126,2899,3040,1/2-1/2,12,1,10,3,9,1,34,19
127,2824,3004,1/2-1/2,4,3,13,5,11,4,3,7
128,3112,2918,1-0,3,2,12,17,19,3,16,18
129,2741,2606,1/2-1/2,5,7,21,6,5,4,6,13
130,2899,2778,1-0,7,2,10,14,2,10,3,20
131,3230,3047,1-0,9,2,14,3,2,6,37,5
132,2965,3184,0-1,5,1,10,4,8,2,10,4
133,3034,3184,0-1,11,5,13,6,9,11,6,14
134,3047,2965,1-0,2,9,4,10,10,1,15,4
135,2606,2899,1/2-1/2,2,3,13,5,3,2,16,4
137,3227,3094,1/2-1/2,2,5,12,4,7,1,5,11
138,2918,2891,1/2-1/2,12,9,2,8,9,1,6,8
139,3004,3112,1/2-1/2,6,4,7,14,4,5,13,14
136,2757,2741,0-1,5,2,14,3,3,4,7,14
140,3040,2824,1/2-1/2,4,2,14,25,15,1,12,3
142,3102,3113,1/2-1/2,6,4,9,2,3,1,9,7
143,3113,3034,1/2-1/2,8,4,5,22,3,7,15,2
141,3012,2899,1/2-1/2,14,1,18,3,19,1,4,13
144,2899,3042,1/2-1/2,3,9,5,19,3,2,13,5
146,3112,3040,1-0,2,4,8,23,11,1,10,4
145,2824,3012,0-1,4,3,10,5,8,1,7,4
147,2891,3004,1/2-1/2,3,4,9,6,0,2,11,4
149,2899,2757,1-0,11,2,20,6,10,2,13,6
150,2965,2778,1-0,7,3,11,14,4,6,10,7
148,3094,2918,1-0,14,6,16,4,8,2,13,6
152,3034,3047,0-1,15,3,11,10,2,10,8,6
153,2918,2741,1/2-1/2,5,13,7,11,11,9,13,6
151,3184,3047,1-0,7,1,16,6,7,6,9,2
154,3004,3094,1/2-1/2,4,1,30,9,9,3,16,2
155,3040,2891,1-0,6,2,9,10,11,4,9,3
156,3012,3112,1/2-1/2,7,9,2,5,4,1,21,10
157,3042,2824,1/2-1/2,5,12,16,13,8,5,17,2
158,3102,2899,1/2-1/2,2,3,17,6,2,5,19,3
159,2899,3113,1-0,12,3,6,7,11,1,4,5
160,2824,3102,1/2-1/2,4,1,7,10,10,7,3,8
162,2891,3012,1/2-1/2,2,4,7,9,13,1,8,6
161,3112,3042,1/2-1/2,5,1,7,11,5,7,12,6
163,3094,3040,1-0,13,4,10,5,9,1,11,7
164,2741,3004,1/2-1/2,2,3,10,6,8,1,14,4
165,2899,2918,1-0,20,2,6,7,9,1,4,8
166,3230,3227,1/2-1/2,9,4,15,7,5,8,18,11
167,2965,2757,1-0,2,7,9,12,6,3,14,12
168,3047,2778,1-0,2,6,3,9,5,2,27,6
169,3034,2778,1-0,8,3,9,2,11,4,7,8
171,3004,2899,1-0,2,7,6,14,6,9,17,2
172,3040,2741,1-0,7,3,4,15,4,2,19,10
170,3227,2965,1-0,4,5,20,3,4,2,7,6
173,3012,3094,1/2-1/2,3,1,5,16,10,2,19,23
174,3042,2891,1-0,6,4,14,3,3,2,16,8
175,3102,3112,0-1,2,12,3,8,11,2,30,4
176,3113,2824,1-0,2,5,9,10,4,1,12,5
177,2660,2899,0-1,3,2,8,4,2,6,12,7
178,2899,3034,1/2-1/2,4,5,15,9,5,7,18,9
179,2824,2660,1-0,3,6,17,7,3,5,29,4
180,3112,3113,1/2-1/2,10,2,11,5,1,3,9,8
181,2891,3102,1/2-1/2,8,3,19,7,3,6,15,7
182,3094,3042,1/2-1/2,8,10,15,5,5,4,12,10
183,2741,3012,1-0,7,1,6,9,5,3,11,9
184,2899,3040,1/2-1/2,5,2,9,3,2,3,15,4
186,2965,2918,1-0,4,8,2,9,9,8,0,3
185,3230,3004,1/2-1/2,2,5,11,21,5,1,19,9
187,3184,3227,1/2-1/2,17,4,7,2,2,4,23,3
188,3047,2757,1-0,4,1,23,8,2,4,15,7
189,2778,2606,1/2-1/2,11,2,12,6,5,6,7,17
190,2757,2778,0-1,13,3,15,6,13,5,12,7
191,3227,3047,1/2-1/2,2,3,19,4,3,2,9,12
192,2918,3184,1/2-1/2,3,6,14,7,9,6,4,10
193,3004,2965,1-0,3,5,8,6,12,4,19,6
194,3040,3230,0-1,3,5,12,6,7,5,6,8
195,3012,2899,1-0,4,3,8,12,5,8,32,2
196,3102,3094,1/2-1/2,4,5,7,10,7,6,5,16
197,3113,2891,1-0,2,4,3,15,12,2,15,8
198,2899,2824,1-0,10,1,8,5,3,5,20,6
