Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
63003,1152,1122,0-1,3,1,10,2
63000,2268,2285,0-1,9,2,7,3
62998,2243,2196,1-0,8,1,10,2
63010,2297,2267,1-0,5,2,5,2
63006,1712,1684,0-1,3,1,5,1
63002,1059,1142,0-1,10,2,9,2
63008,1396,1447,0-1,7,4,9,3
63007,1654,1693,1-0,10,1,9,2
63004,1907,2006,1/2-1/2,9,1,8,2
63012,1565,1566,1-0,10,2,6,2
63011,1063,1078,0-1,7,2,7,1
63001,998,992,1-0,8,2,10,2
63009,1093,1199,0-1,10,1,9,3
63018,1847,1874,0-1,8,1,8,2
63014,2017,2026,0-1,10,3,10,1
63021,2195,2144,0-1,10,2,9,3
63015,1973,1906,1-0,7,1,10,3
63013,1210,1291,0-1,5,2,10,2
63016,1656,1642,1-0,8,3,10,2
63020,1416,1407,0-1,5,2,7,1
63017,889,890,1-0,10,2,6,1
63019,1615,1613,1-0,7,2,7,3
63025,1791,1758,1-0,10,3,10,1
63024,1913,1781,1-0,9,2,10,2
63026,1598,1565,1-0,6,2,9,2
63022,1876,1929,0-1,10,2,9,3
63031,1337,1351,1-0,7,1,5,2
63030,1711,1735,1/2-1/2,6,0,7,1
63029,1683,1629,1-0,10,4,8,2
63023,2049,2077,1-0,9,1,10,2
63028,2114,1962,1-0,10,1,6,2
63027,1376,1373,0-1,10,2,5,2
63034,1700,1887,0-1,8,2,10,2
63033,883,833,0-1,7,2,7,3
63032,1567,1536,1-0,10,2,8,2
63036,1364,1276,1-0,9,1,4,1
63035,1960,1969,1-0,5,0,10,2
63038,1713,1662,1-0,10,2,7,1
63039,1621,1603,0-1,7,3,7,1
63037,1649,1653,0-1,9,2,7,2
63043,1302,1244,0-1,5,2,6,1
63042,1987,2000,1-0,10,2,8,2
63045,1512,1566,0-1,5,1,5,1
63041,1049,900,1-0,9,2,7,0
63048,1071,1013,0-1,7,2,4,1
63050,1549,1579,0-1,7,1,7,3
63046,2115,2124,0-1,7,2,7,2
63040,1647,1653,1-0,10,3,9,0
63049,1860,1710,1-0,10,2,6,4
63047,1686,1602,0-1,6,1,10,2
63054,1797,1741,1-0,7,3,7,1
63044,1310,1417,0-1,7,1,9,2
63055,1854,1847,0-1,10,2,7,1
63053,1200,1191,1-0,3,0,10,2
63051,1604,1693,1-0,9,2,10,1
63056,1562,1574,1-0,5,2,5,1
63052,1840,1799,1-0,10,2,10,2
63059,1300,1289,1-0,10,1,7,2
63058,2006,2007,1-0,8,2,10,3
63061,1660,1650,1-0,4,2,7,0
63057,1845,1897,1/2-1/2,10,2,10,2
63062,1629,1735,0-1,10,1,5,3
63064,1775,1749,0-1,6,3,7,2
63069,1878,1840,1-0,4,2,5,1
63068,1178,1189,0-1,7,2,6,2
63060,2032,1904,1-0,9,1,8,3
63063,1995,1982,0-1,7,1,9,0
63074,1426,1430,0-1,7,3,4,3
63066,1522,1540,1-0,10,2,8,1
63067,1520,1508,1-0,7,3,9,4
63075,1637,1634,0-1,7,3,6,2
63065,1669,1669,1-0,9,2,8,1
63071,1205,1131,1-0,10,1,4,2
63070,1396,1411,1-0,10,1,6,2
63079,865,706,0-1,7,3,8,3
63072,1505,1505,1-0,9,0,9,1
63076,1760,1961,1-0,7,1,10,1
63077,1649,1680,0-1,10,2,8,1
63085,1706,1865,0-1,7,2,5,1
63080,1810,1699,1/2-1/2,10,1,9,0
63081,2030,2031,1-0,9,0,10,1
63084,1921,1834,1-0,10,2,7,2
63089,1862,1727,0-1,0,0,0,0
63078,2124,2114,1-0,8,3,7,3
63073,1496,1555,1/2-1/2,7,2,10,4
63092,1209,1241,0-1,7,1,5,2
63083,726,621,1-0,10,1,9,3
63086,1488,1492,1-0,7,3,10,3
63087,1897,1856,1-0,6,2,5,2
63082,807,767,1-0,10,2,7,1
63097,1338,1331,0-1,4,2,5,2
63094,1582,1583,0-1,5,3,7,2
63091,1612,1562,1-0,8,1,6,1
63093,1332,1366,1-0,6,2,6,2
63088,1487,1467,0-1,10,1,9,1
63090,1757,1695,1-0,8,3,9,1
63096,1796,1784,0-1,10,1,10,3
63100,995,1040,1-0,7,1,10,2
63098,1581,1600,0-1,6,1,6,3
63095,1326,1413,1-0,10,2,8,3
63101,1974,1978,1-0,5,0,5,1
63102,1839,1853,1-0,5,2,9,2
63105,1176,1149,1-0,5,2,6,2
63099,1694,1695,1-0,10,0,10,2
63103,1732,1775,0-1,9,1,7,2
63108,1594,1566,0-1,7,1,6,3
63109,1238,1343,1-0,8,3,10,3
63112,1754,1714,1-0,6,2,10,2
63107,1827,1835,1-0,7,2,10,3
63106,1270,1321,1-0,5,1,9,2
63110,1745,1689,0-1,8,1,6,1
63104,1522,1531,1-0,6,3,10,2
63113,1737,1609,1-0,10,2,7,1
63115,1496,1498,1-0,6,1,6,0
63116,1412,1497,1/2-1/2,5,1,10,1
63114,1719,1760,1/2-1/2,10,1,10,1
63121,1532,1521,1-0,7,1,9,1
63118,1995,1958,0-1,6,2,10,2
63111,1332,1369,1-0,10,1,8,1
63126,1218,1275,1-0,3,0,2,0
63117,1164,1155,1-0,5,0,10,2
63127,1762,1790,0-1,7,2,6,2
63120,1095,1032,0-1,10,3,7,2
63125,1236,1236,0-1,10,2,10,3
63131,837,858,0-1,2,1,2,0
63123,1972,1980,0-1,7,2,6,1
63122,1374,1403,1-0,8,2,10,2
63119,1085,1067,1-0,9,2,9,3
63128,1753,1774,1-0,10,1,10,3
63133,1432,1408,1-0,7,2,6,2
63132,1316,1050,1-0,6,3,7,1
63124,783,889,0-1,10,2,10,1
63129,1519,1364,1-0,10,1,8,2
63130,1339,1312,1-0,9,0,7,1
63134,2145,2149,0-1,9,1,8,2
63135,1890,1857,1-0,10,1,8,1
63137,1760,1673,1-0,7,1,7,2
63136,1231,1199,0-1,10,1,9,2
63138,1736,1722,1-0,6,2,8,1
63139,2010,1989,0-1,8,1,10,1
63147,1787,1776,0-1,10,2,6,3
63145,1159,1145,0-1,8,1,9,2
63140,1584,1575,1-0,10,3,7,0
63148,1017,1041,0-1,4,1,6,2
63144,1926,1887,0-1,10,0,7,0
63150,1515,1542,0-1,7,1,5,3
63141,1097,1077,1-0,10,2,10,2
63142,1605,1594,0-1,10,2,10,0
63143,1293,1246,0-1,10,2,9,3
63146,1473,1423,1-0,8,2,10,1
63151,1896,1852,0-1,8,3,7,1
63152,900,849,0-1,5,1,6,1
63149,1916,1955,1/2-1/2,8,3,9,2
63153,1219,1195,0-1,5,3,6,1
63154,2080,2090,0-1,7,3,10,2
63155,1808,1728,0-1,7,3,9,3
63158,1500,1532,1-0,7,1,7,1
63156,1800,1791,1-0,10,2,9,2
63162,1384,1307,1/2-1/2,5,1,4,2
63157,1560,1600,0-1,9,1,8,2
63166,1500,1624,1-0,2,0,1,0
63161,1294,1287,0-1,10,3,4,2
63169,1459,1495,0-1,9,1,5,2
63159,1909,1925,1-0,7,0,9,2
63160,2006,2011,0-1,8,2,10,2
63165,1723,1720,0-1,6,2,10,2
63163,1232,1211,1-0,8,2,10,3
63172,2043,1963,1-0,9,2,5,3
63170,1312,1237,1-0,10,2,6,4
63167,1807,1792,1-0,10,2,10,2
63176,825,800,0-1,10,2,6,2
63164,1421,1370,1-0,8,3,10,3
63173,1721,1672,0-1,10,3,7,4
63171,1847,1824,1-0,10,2,10,0
