Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18363,2018,1838,1-0,10,2,10,1
18361,1186,1193,0-1,8,2,7,1
18362,2072,2112,1-0,9,1,8,2
18365,1397,1364,0-1,5,3,7,2
18368,1696,1699,0-1,9,2,9,3
18366,2189,2184,1-0,10,2,10,1
18360,1204,1209,1-0,6,1,10,3
18367,957,1072,1-0,10,3,9,1
18371,2026,2064,1-0,10,3,10,2
18364,1147,1125,0-1,10,2,10,3
18373,1172,1103,1-0,10,2,8,0
18372,1244,1196,0-1,10,2,9,2
18369,1401,1362,1-0,10,1,8,2
18376,1261,1335,0-1,10,2,6,2
18370,1586,1502,0-1,10,1,9,1
18374,1068,1056,0-1,9,3,7,2
18377,1110,974,1-0,7,3,9,1
18383,1917,1913,1-0,6,2,10,2
18379,1889,1857,0-1,9,3,10,2
18375,1008,1294,0-1,10,2,9,0
18384,1630,1682,0-1,10,1,5,1
18382,1395,1365,0-1,10,3,9,3
18380,1260,1270,1-0,8,1,10,0
18378,1385,1358,1-0,10,1,10,2
18381,1745,1730,0-1,7,1,10,2
18385,1288,1288,0-1,7,3,7,1
18390,1083,1055,0-1,7,0,6,3
18393,903,1071,0-1,5,3,3,2
18386,1968,1994,0-1,10,1,7,2
18392,1651,1647,1-0,8,1,8,2
18387,1580,1468,1/2-1/2,6,2,6,3
18388,1837,1830,1-0,10,0,10,2
18398,1100,1261,0-1,10,3,5,3
18395,1133,1175,0-1,8,0,7,2
18391,1687,1675,0-1,9,2,10,0
18389,1124,1115,1-0,10,2,8,2
18394,956,917,1-0,6,1,8,1
18403,1134,1051,1-0,5,2,7,1
18397,1543,1568,1-0,7,3,10,2
18406,1500,1500,0-1,0,0,0,0
18399,1734,1679,0-1,10,2,7,2
18402,2025,1947,0-1,9,1,8,4
18401,1920,1903,0-1,10,1,10,2
18400,1790,1900,0-1,10,1,8,2
18396,1157,1180,1-0,10,2,10,1
18405,1646,1607,0-1,10,3,7,3
18407,1370,1395,0-1,5,2,9,1
18414,1053,904,0-1,6,1,5,2
18413,2239,2279,0-1,10,4,10,1
18404,1354,1417,0-1,10,2,9,2
18408,1669,1720,0-1,7,2,9,2
18410,1755,1732,1-0,4,2,8,3
18409,1935,1965,1/2-1/2,10,3,8,0
18415,1985,1966,0-1,9,3,5,3
18419,1135,1186,0-1,10,1,5,2
18416,1409,1361,0-1,6,1,10,1
18418,1660,1507,0-1,10,2,6,1
18420,1045,1057,0-1,6,2,3,2
18411,1205,1200,1-0,7,2,10,0
18412,1190,1019,1-0,8,2,7,1
18417,1742,1714,0-1,10,3,10,3
18421,2182,2191,0-1,8,2,10,0
18422,1538,1521,1-0,7,3,8,3
18428,1313,1264,1-0,10,1,9,3
18426,1646,1628,1-0,8,2,4,1
18423,855,936,0-1,7,2,10,1
18425,1500,1523,0-1,10,2,9,2
18429,1511,1513,1-0,5,4,9,1
