Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
6,2564,2522,1-0,-,-,-,-,15,-,b3b4,-
1,2315,2486,0-1,10,-,5,-,"8,9,10","4,5","e2c4,a2a3,d1e2","b7b6,e8g8"
3,2487,2451,1-0,8,-,5,-,8,"4,5",e2e4,"b4e7,b4d2"
0,2588,2625,1-0,5,-,8,-,"4,5","6,7,8","b5a4,e1g1","b7b5,e8g8,e8g8"
2,2217,2402,0-1,8,-,14,-,"6,7,8","11,11,12,12,13,13,14,14","e4e5,f3g5,c1e3","e8g8,e8g8,c5c4,c5c4,d5c4,d5c4,b6b5,b6b5"
7,2529,2540,1-0,6,-,11,-,6,"10,11",e1g1,"e8g8,e8g8"
5,2517,2428,1-0,14,-,7,-,"6,7,8,9,10,11,12,13,14",7,"b1c3,d4d5,c2c4,f3d4,b1c3,c4d5,c3d5,c1c3,e1g1",e5d4
8,2373,2400,0-1,-,-,-,-,10,"12,13",d1c1,"a7a6,d6d5"
4,2463,2484,0-1,11,-,15,-,11,"9,10,11,12,13,14,15",e3e4,"e7f5,e7f5,e7f5,f5h4,e8g8,e5f4,e8g8"
10,2480,2358,1/2-1/2,11,-,7,-,11,7,e3e4,f6h5
11,2602,2483,1-0,5,-,4,-,5,4,d2d4,c7c6
9,2442,2478,1/2-1/2,12,-,12,-,"11,12","10,11,12","e1g1,e1g1","b8d7,b8d7,e8g8"
12,2504,2452,1-0,-,10,-,-,"9,10",-,"e3c5,e1c1",-
13,2338,2555,0-1,7,-,11,-,7,"9,10,11",c1e3,"e8g8,d8b6,b5b4"
16,2482,2507,0-1,8,-,11,-,8,"10,11",b1a3,"e4f5,e8g8"
14,2495,2629,1-0,5,-,11,-,5,"8,9,10,11",d1b3,"d5c4,e8g8,e8g8,e8g8"
19,2700,2624,1-0,6,-,6,-,6,6,a2a4,b8c6
15,2334,2479,0-1,-,-,9,-,"9,10,11,14,15",9,"e1g1,h3g1,h3g1,h2h3,e1g1",c7c5
17,2448,2202,1-0,8,-,5,-,8,5,d4d5,e8g8
20,2350,2514,1-0,7,-,6,-,7,6,d1c2,e8g8
21,2443,2530,0-1,-,-,6,-,-,"5,6",-,"e8g8,e8g8"
23,2383,2532,1-0,4,-,9,-,4,"7,8,9",e1g1,"d7c6,d6f5,d8c8"
22,2451,2553,1-0,10,-,7,-,"4,5,6,7,9,10",7,"e1g1,c2c3,e1g1,e1g1,e1g1,e1g1",e8g8
24,2556,2538,0-1,4,-,9,-,4,"8,9",c2c4,"e8g8,e8g8"
27,2495,2303,0-1,8,-,8,-,8,8,e1g1,e8g8
18,2603,2650,1-0,-,-,-,-,"13,15","6,7,8,9,10,11,12,14,15","d2e3,g5f3","e7f6,e6e5,e7f6,e8g8,e8g8,d8f6,b8d7,b8d7,e5e4"
26,2402,2347,1-0,11,-,12,-,"5,6,7,8,9,10,11",12,"d1b3,d1b3,b3b7,b7b3,b3c3,e1g1,e1g1",e8g8
29,2415,2477,0-1,10,-,9,-,"9,10",9,"a2a4,e3e4",b7b5
28,2346,2608,0-1,11,-,12,-,"8,9,10,11","11,12","c3d4,e5f6,e1g1,e1g1","e8g8,e8g8"
30,2499,2624,1-0,5,-,5,-,5,5,e1g1,e8g8
25,2588,2540,0-1,-,9,-,13,9,"7,9,9,10,10,11,11,12,12,13,13",f4d2,"f8b4,b4c3,b4c3,d5a2,d5a2,a2a3,a2a3,g4e6,g4e6,e8c8,e8c8"
32,2489,2415,0-1,7,-,8,-,7,8,c1e3,c6d4
31,2260,2460,0-1,6,-,10,-,"5,6","8,9,10","d1c2,e1g1","e8g8,d8e7,e8g8"
35,2561,2580,1/2-1/2,-,-,-,8,-,8,-,g8f6
34,2422,2497,1-0,-,10,7,-,"8,9,10,10",7,"f2f3,d1d2,h2h4,h2h4",f6g4
38,2472,2414,0-1,-,13,-,-,13,-,e1c1,-
33,2393,2666,0-1,8,-,5,-,"4,5,6,7,8",5,"c2c4,e1g1,c1b2,c2c4,e1g1",c7c5
37,2516,2519,1-0,6,-,9,-,"5,6","8,9","b5c6,b1c3","e8g8,d5c4"
41,2674,2646,1/2-1/2,-,-,6,-,-,6,-,e8g8
40,2403,2359,0-1,9,-,-,11,9,"9,10,11,11",e1g1,"e8g8,f7e6,c6a5,c6a5"
36,2390,2468,0-1,8,-,-,-,"6,7,8","9,10,11,12,13,14,15","c4b3,d2d4,e1g1","e8g8,c5d4,b5b4,d5c4,c5d4,e8g8,c8b7"
42,2456,2510,1-0,12,-,10,-,"11,12,12","9,10","f1d3,f3g5,f3g5","b4d2,c8d7"
43,2552,2385,1-0,9,-,9,-,"8,9",9,"d1e2,c1g5",e8g8
46,2706,2757,0-1,9,-,9,-,9,9,d2d4,e8g8
39,2510,2528,0-1,7,-,-,-,"6,7","12,13,13,14,14,15,15","d2d4,e4e5","e6d5,d5g2,d5g2,c6e5,c6e5,b7f3,b7f3"
44,2306,2435,0-1,9,-,13,-,"8,9","10,11,12,13","f3e5,f2f4","d4e3,d8d1,e5c4,e8g8"
45,2514,2477,1/2-1/2,-,10,11,-,"7,8,9,10,10","10,11","c1e3,c1e3,e1g1,e1c1,e1c1","f6e4,b7b5"
48,2575,2387,1-0,5,-,7,-,"4,5","6,7","b5c6,e4e5","b7c6,e8g8"
47,2228,2551,0-1,-,10,12,-,"8,9,10","8,9,10,11,12","f1d3,a2a3,a2a3","d7d5,d5e4,f6d5,b4c3,e8g8"
49,2508,2461,1-0,10,-,-,-,10,"14,15",a1b1,"e7g5,e7f8"
50,2569,2487,1-0,7,-,4,-,"6,7",4,"e1g1,e1g1",a7a5
52,2677,2650,0-1,4,-,6,-,4,6,e1g1,b8c6
51,2503,2577,1-0,12,-,6,-,12,"5,6",b2b3,"h7h6,d5c4"
53,2611,2572,0-1,6,-,6,-,6,6,a2a4,e8g8
55,2458,2445,1-0,8,-,5,-,"7,8",5,"e1g1,e1g1",h7h6
56,2306,2464,0-1,6,-,9,-,"4,5,6",9,"b5a4,b5c6,a4a5",b6c7
54,2408,2378,0-1,9,-,-,-,"8,9","8,13,14,15","c3c4,e1g1","a8c8,d6e5,c6b5,d6e7"
58,2404,2522,1/2-1/2,8,-,8,-,8,"6,7,8",f3e5,"e8g8,f7f5,b8d7"
59,2303,2420,0-1,9,-,7,-,9,7,e1g1,d7d6
61,2400,2302,1-0,7,-,12,-,7,"10,11,12",d2d4,"c5d4,d8c7,e8g8"
57,2494,2600,0-1,14,-,-,-,"4,5,6,7,8,9,10,11,12,13,14",-,"d2d3,e4e5,e1g1,f3g5,d1f3,g4g3,f2f4,h5h4,h4g3,h4g5,e1d2",-
63,2508,2581,1/2-1/2,7,-,4,-,7,4,h2h3,f6h5
65,2570,2607,1-0,5,-,4,-,5,4,d2d3,d7d5
60,2200,2509,0-1,-,-,6,-,"8,9,10,11,11,12,12,13,14,15",6,"c4d5,a2a3,f1e2,c4d5,e1g1,e1g1,e1g1,d3e4,e2d3,c2d3",c6c5
62,2428,2328,1-0,15,-,12,-,"11,11,12,12,13,13,14,15","11,12","f4e3,f4e3,g5e7,g5e7,h2h4,h2h4,h2h4,e1g1","f7f6,c7c5"
68,2453,2263,0-1,-,-,8,-,"12,13,14,15",8,"a2a3,b4b5,c3d4,c5c6",e8g8
66,2300,2574,0-1,-,13,-,12,"9,10,11,12,13,13",12,"e2e4,c2c4,c2c4,e4d5,e1g1,e1g1",e8c8
69,2360,2517,1-0,8,-,9,-,8,"8,9",e1g1,"e8g8,d7d6"
71,2283,2427,0-1,7,-,8,-,7,8,e1g1,c5c4
64,2592,2467,1-0,-,-,13,-,"4,5,6,7,8,9,10,11,11,12,12,13,13,14,14,15,15","10,11,12,13","c2c3,e1g1,c3d5,c1f4,f3d4,f4e3,d4c2,f4e3,f4e3,e4d5,e4d5,b5e2,b5e2,h2h4,h2h4,f4g5,f4g5","c6d4,e7d5,c6d4,d8f6"
67,2548,2340,1-0,-,-,9,-,"11,12,13,14,15","8,9","c3d4,h2h4,c1e3,h1h3,g2g4","e8g8,d8b6"
74,2661,2312,1-0,12,-,5,-,12,5,c4d5,a7a6
72,2666,2466,1-0,5,-,-,10,"4,5",10,"b5a4,e1g1",e8c8
76,2633,2776,0-1,-,-,-,8,-,8,-,g8f6
73,2656,2538,1-0,5,-,5,-,"4,5",5,"d2d3,e1g1",e8g8
