Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
2,2930,2817,0-1,6,-,6,-,6,6,e1g1,e8g8
4,2423,2313,1-0,8,-,10,-,8,10,e1g1,h7h6
1,2255,2406,0-1,-,-,14,-,"7,8,9,10",14,"g2g4,f1g2,d4e5,h2h4",d8d6
0,2513,2349,1-0,6,-,10,-,"5,6","7,8,9,10","c2c4,e1g1","e6e5,e5e4,f5e4,h7h6"
3,2504,2589,1-0,9,-,-,-,9,"6,7,8,9,10,11,12,13,14",e1g1,"h7h6,e8g8,e8g8,e8g8,c8b7,b7e4,b7e4,f5h4,a8a7"
7,2386,2429,0-1,-,-,-,-,10,"10,11,12,15,15",d4e5,"f6g4,f6d7,f6g4,d7e6,d7e6"
5,2394,2429,1-0,13,-,-,-,"8,9,10,13","8,9,10","f2f3,h2h3,e3d4,c4b3","b7c6,f6g4,g4e3"
6,2519,2510,1-0,5,-,-,14,"4,5","11,12,13,14,14","e1g1,c2c4","g6f5,e6f7,e7d5,e8c8,e8c8"
8,2707,2474,1-0,9,-,15,-,"7,8,9","10,11,12,13,14,15,15","c4b3,e5d6,e1g1","d4c3,d6d5,d6d7,c6d4,f8c5,e8g8,e8g8"
11,2501,2497,1-0,11,-,6,-,11,"4,5,6",e1g1,"e8g8,b4c3,c7c6"
12,2588,2202,1-0,7,-,5,-,7,5,d4d5,c7c6
10,2440,2599,0-1,6,-,-,14,6,"12,13,14",e1g1,"h7g6,f8c5,d4c2"
15,2498,2523,0-1,7,-,4,-,7,4,e1g1,d7d5
9,2508,2518,1-0,4,-,-,-,4,"5,6,7,8,9,10,11,11,12,12,13,13,14,15",b1c3,"c5d4,c6d4,d7d6,d6e5,d8e7,a7a6,g7f6,g7f6,e6c4,e6c4,d4e6,d4e6,e7c5,e7c5"
13,2401,2246,1-0,-,11,7,-,"9,10,11,11","6,7","e4g5,h2h4,h2h4,h2h4","e7f6,e8g8"
