Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
2,1250,1387,0-1,-,15,5,-,"10,15",5,"g5e7,e2g3",f6g4
3,1496,1442,1/2-1/2,14,-,-,-,"11,13,14",-,"e5e7,e5d6,f2f3",-
0,1287,1442,0-1,-,-,-,-,"13,14,15",-,"d3a3,f3e5,c4d4",-
4,1764,1597,1-0,4,-,7,-,4,7,e1g1,e8g8
1,1567,1421,0-1,-,-,4,-,"5,6,7,8,9",4,"d2d3,b1c3,f3h5,h5h6,c4b3",e8g8
7,1600,1778,0-1,12,-,5,-,"10,11,12",5,"b2b4,d4e5,e1g1",e8g8
6,1336,1519,0-1,5,-,5,-,"4,5",5,"f3g5,b1c3",d7d6
9,1466,1400,1-0,-,-,13,-,-,"10,13,13",-,"b7g2,e8c8,e8c8"
10,1577,1528,0-1,-,-,-,-,"8,9,10,11,12,13",-,"d5b5,c4b3,b5b7,a4b3,a2a4,b3b4",-
8,1727,1634,1-0,8,-,14,-,"7,8","8,9,10,11,11,12,12,13,13,14,14","e1g1,e1g1","e7f5,b7c6,f8c5,c5e3,c5e3,g6e5,g6e5,c7e5,c7e5,e5c7,e5c7"
5,1320,1298,1-0,12,-,14,-,"10,11,12","4,5,6,7,8,9,10,11,12,13,13,14,14","e2c4,d4b2,c2c4","d7d6,e5d4,e8g8,e8g8,d7b6,e5f3,c7c5,e8g8,e8g8,g4f5,g4f5,c7c6,a7a5"
11,1328,1354,0-1,-,-,-,-,"7,9","9,10,11,12","d2f4,f4a4","g7c3,g7c3,d6c5,a3a2"
12,1414,1583,1-0,-,-,6,-,"8,9,15",6,"d2d3,c3d5,f3c6",c5f8
15,1812,1565,1-0,6,-,6,-,6,6,e4e5,d7d6
14,1882,1924,0-1,4,-,-,-,4,"10,12,13,14,15",e1g1,"f6e4,h7h6,g7g5,f6e4,h8g8"
13,1620,1532,0-1,-,-,7,-,"10,11,12,13,14,15",7,"f1g2,g1f3,b3c4,f1g2,c3b4,f1g2",e6e5
16,1626,1781,0-1,13,-,11,-,13,"10,10,11,11",e1g1,"f6e4,f6e4,e8g8,e8g8"
18,1702,1500,1-0,8,-,-,-,"5,6,7,8",-,"b5e2,e1g1,c2c4,c2c4",-
