Id,WhiteElo,BlackElo,Result,WhiteSingleSwine,WhiteDoubleSwine,BlackSingleSwine,BlackDoubleSwine
40,3113,3184,0-1,True,False,False,False
10,3606,3486,1/2-1/2,False,False,False,False
91,3102,3004,0-1,False,False,False,False
57,3112,3230,0-1,False,False,False,False
74,3112,3184,1/2-1/2,True,False,False,False
23,3486,3620,1/2-1/2,False,False,False,False
90,3042,3040,1/2-1/2,False,False,True,False
56,2824,2965,1/2-1/2,True,True,False,False
73,2824,3047,1/2-1/2,True,False,True,False
39,3102,3047,1/2-1/2,False,False,False,False
22,3534,3486,1/2-1/2,True,False,False,False
9,3486,3606,1/2-1/2,False,False,True,False
0,3371,3627,0-1,False,False,False,False
89,3012,3034,1/2-1/2,False,False,False,False
55,2899,3184,1/2-1/2,True,False,True,False
72,2899,2778,1-0,False,False,True,False
38,3042,2778,1-0,False,False,False,False
21,3486,3534,1-0,True,False,False,False
88,3040,3012,1-0,True,False,False,False
54,3042,2757,1/2-1/2,True,False,True,False
71,2660,2606,0-1,True,False,True,True
37,3040,2757,1-0,False,False,False,False
20,3463,3486,1/2-1/2,False,False,False,False
8,3436,3486,0-1,True,False,False,False
70,3102,3227,0-1,False,False,True,False
53,3012,3227,1/2-1/2,False,False,False,False
87,3004,3042,1/2-1/2,True,True,False,False
36,3004,3227,0-1,False,False,True,False
19,3486,3463,1-0,True,False,False,False
52,3040,2918,1-0,False,False,False,False
7,3486,3436,1-0,False,False,False,False
86,2918,3102,1/2-1/2,False,False,True,False
69,3042,2918,1/2-1/2,True,False,False,False
35,2918,3034,1/2-1/2,True,False,True,False
18,3378,3486,1/2-1/2,False,False,False,False
85,3227,3113,1-0,True,False,False,False
51,3004,3034,1-0,True,False,False,False
68,3012,3004,1/2-1/2,False,False,False,False
34,3297,3486,0-1,True,False,True,False
17,3486,3378,1-0,True,False,False,False
6,3678,3486,1/2-1/2,True,False,True,False
84,2757,2660,1-0,True,False,False,False
16,3390,3486,1/2-1/2,False,False,False,False
101,2778,2891,0-1,False,False,False,False
50,2918,3004,1/2-1/2,False,False,True,False
67,3040,3034,1/2-1/2,False,False,True,False
33,3486,3297,1-0,False,False,False,False
5,3486,3678,1/2-1/2,False,False,False,False
100,3047,3094,1/2-1/2,False,False,True,False
83,2606,2899,0-1,False,False,False,False
49,3227,3040,1-0,False,False,True,False
32,3664,3486,1/2-1/2,True,False,False,False
66,3004,3040,1-0,False,False,False,False
15,3486,3390,1-0,True,False,True,False
4,3511,3486,0-1,False,False,True,False
99,2965,2899,1-0,False,False,False,False
82,2778,2824,0-1,False,False,True,False
48,2757,3012,0-1,False,False,True,False
65,2918,3012,1/2-1/2,False,False,False,False
31,3486,3664,1-0,False,False,False,False
64,3227,3042,1-0,True,False,False,False
81,3047,3112,1/2-1/2,True,False,False,False
47,3047,3113,0-1,True,False,True,False
98,3034,3230,0-1,True,False,True,False
30,3754,3486,1/2-1/2,False,False,False,False
14,3492,3486,0-1,False,False,True,False
3,3486,3511,1-0,True,False,False,False
97,2741,2965,1-0,True,False,False,False
80,3184,2891,1/2-1/2,False,False,False,False
46,2965,2899,1-0,False,False,False,False
63,2778,2660,1-0,True,False,False,False
29,3486,3754,1/2-1/2,False,False,True,False
28,3549,3486,0-1,False,False,False,False
13,3486,3492,1-0,False,False,True,False
79,2965,3094,1/2-1/2,False,False,False,False
45,2899,3112,0-1,False,False,True,False
96,3094,3184,1/2-1/2,True,False,True,False
62,3047,2899,1-0,False,False,False,False
2,3815,3718,1/2-1/2,True,False,True,False
61,2965,3112,1/2-1/2,False,False,False,False
78,3034,2899,1/2-1/2,True,False,False,False
44,2741,2891,0-1,False,False,False,False
95,2891,3047,1/2-1/2,True,True,False,False
27,3486,3549,1-0,False,False,False,False
12,3709,3486,1/2-1/2,True,False,False,False
77,2741,2899,1/2-1/2,False,False,False,False
43,3034,3094,1/2-1/2,False,False,False,False
94,2824,2606,0-1,True,False,False,False
60,2899,3094,0-1,True,False,True,False
26,3316,3486,1/2-1/2,False,False,True,False
93,2899,2757,1-0,False,False,False,False
76,3094,3230,1/2-1/2,True,False,False,False
42,2891,3094,1/2-1/2,False,False,False,False
59,3034,2741,1-0,True,False,False,False
11,3486,3709,1/2-1/2,True,False,True,False
1,3627,3371,1-0,True,False,False,False
25,3486,3316,1-0,True,False,False,False
75,2891,2965,1/2-1/2,True,False,True,False
41,2824,2899,1-0,True,False,False,False
92,3113,2918,1/2-1/2,True,False,False,False
58,2891,2899,1-0,False,False,False,False
24,3620,3486,1/2-1/2,False,False,False,False
102,2757,2824,1/2-1/2,False,False,False,False
103,2918,2660,1-0,True,False,True,False
104,3004,3113,1/2-1/2,False,False,True,False
105,3040,3102,1-0,True,False,False,False
106,3012,3042,0-1,False,False,False,False
107,3042,3034,1-0,False,False,False,False
108,3102,3012,1/2-1/2,True,True,True,False
109,3113,3040,1-0,False,False,False,False
110,2899,2918,0-1,False,False,False,False
111,2891,2606,1-0,True,False,False,False
112,2899,3184,0-1,False,False,False,False
113,3230,2965,1-0,False,False,True,False
114,3034,2965,1-0,False,False,False,False
115,3184,3230,1/2-1/2,True,False,True,False
116,3047,2899,1-0,False,False,False,False
117,2778,2741,0-1,False,False,True,False
118,2757,2891,1/2-1/2,True,False,False,False
119,3227,3112,1-0,False,False,True,False
120,2918,2824,0-1,False,False,True,False
121,3004,2899,1/2-1/2,True,False,False,False
122,3012,3113,1/2-1/2,True,False,True,False
123,3042,3102,1-0,False,False,False,False
124,3102,3034,1/2-1/2,False,False,False,False
125,3113,3042,1/2-1/2,False,False,False,False
126,2899,3040,1/2-1/2,False,False,True,False
127,2824,3004,1/2-1/2,False,False,True,False
128,3112,2918,1-0,True,False,True,False
129,2741,2606,1/2-1/2,True,False,True,False
130,2899,2778,1-0,True,False,False,False
131,3230,3047,1-0,True,False,False,False
132,2965,3184,0-1,False,False,False,False
133,3034,3184,0-1,False,False,False,False
135,2606,2899,1/2-1/2,True,True,True,False
134,3047,2965,1-0,False,False,True,False
136,2757,2741,0-1,False,False,False,False
137,3227,3094,1/2-1/2,False,False,False,False
138,2918,2891,1/2-1/2,False,False,False,False
140,3040,2824,1/2-1/2,True,False,True,True
139,3004,3112,1/2-1/2,False,False,False,False
141,3012,2899,1/2-1/2,True,False,False,False
142,3102,3113,1/2-1/2,False,False,False,False
143,3113,3034,1/2-1/2,False,False,False,False
144,2899,3042,1/2-1/2,False,False,True,False
146,3112,3040,1-0,False,False,False,False
145,2824,3012,0-1,False,False,False,False
147,2891,3004,1/2-1/2,True,False,False,False
148,3094,2918,1-0,True,False,True,False
149,2899,2757,1-0,True,False,True,False
151,3184,3047,1-0,False,False,False,False
150,2965,2778,1-0,True,False,True,False
152,3034,3047,0-1,False,False,True,False
153,2918,2741,1/2-1/2,True,False,False,False
154,3004,3094,1/2-1/2,True,False,False,False
155,3040,2891,1-0,False,False,False,False
156,3012,3112,1/2-1/2,False,False,True,False
157,3042,2824,1/2-1/2,False,False,True,False
158,3102,2899,1/2-1/2,True,True,True,False
159,2899,3113,1-0,True,False,False,False
160,2824,3102,1/2-1/2,True,False,False,False
161,3112,3042,1/2-1/2,False,False,True,False
162,2891,3012,1/2-1/2,False,False,False,False
163,3094,3040,1-0,True,False,False,False
164,2741,3004,1/2-1/2,False,False,True,False
165,2899,2918,1-0,True,False,False,False
166,3230,3227,1/2-1/2,True,False,True,False
167,2965,2757,1-0,False,False,False,False
168,3047,2778,1-0,True,False,True,False
169,3034,2778,1-0,True,False,False,False
170,3227,2965,1-0,False,False,False,False
171,3004,2899,1-0,True,False,True,False
172,3040,2741,1-0,True,False,False,False
173,3012,3094,1/2-1/2,False,False,False,False
174,3042,2891,1-0,False,False,False,False
175,3102,3112,0-1,False,False,False,False
176,3113,2824,1-0,False,False,False,False
177,2660,2899,0-1,False,False,True,False
178,2899,3034,1/2-1/2,True,False,True,False
179,2824,2660,1-0,True,False,False,False
180,3112,3113,1/2-1/2,True,False,True,False
181,2891,3102,1/2-1/2,True,False,False,False
182,3094,3042,1/2-1/2,True,False,True,False
183,2741,3012,1-0,False,False,False,False
184,2899,3040,1/2-1/2,False,False,True,False
186,2965,2918,1-0,False,False,False,False
185,3230,3004,1/2-1/2,False,False,False,False
187,3184,3227,1/2-1/2,True,False,False,False
188,3047,2757,1-0,True,False,False,False
189,2778,2606,1/2-1/2,False,False,False,False
190,2757,2778,0-1,False,False,False,False
