Id,WhiteElo,BlackElo,Result,WhiteSingleSwine,WhiteDoubleSwine,BlackSingleSwine,BlackDoubleSwine
346,2470,2256,1-0,True,False,False,False
380,2540,2401,0-1,True,False,True,False
312,2303,2432,0-1,False,False,False,False
584,2542,2616,1/2-1/2,False,False,False,False
176,2545,2506,1-0,False,False,True,False
142,2552,2510,0-1,False,False,False,False
516,2484,2563,0-1,False,False,False,False
210,2417,2400,1-0,False,False,False,False
747,2600,2376,1-0,True,False,True,False
311,2566,2422,1-0,False,False,False,False
687,2702,2628,1-0,False,False,False,False
379,2765,2478,1-0,False,False,False,False
345,2435,2397,0-1,True,False,True,False
583,2225,2434,1-0,True,False,True,False
175,2305,2462,1-0,False,False,True,False
141,2555,2520,1-0,False,False,False,False
209,2311,2636,1/2-1/2,True,False,True,False
515,2413,2566,0-1,False,False,False,False
378,2545,2472,1-0,True,False,False,False
714,2517,2662,1/2-1/2,False,False,False,False
442,2549,2803,0-1,False,False,True,False
344,2646,2640,0-1,True,False,True,False
310,2421,2439,1-0,False,False,False,False
582,2581,2318,1-0,True,True,False,False
514,2574,2358,0-1,False,False,False,False
174,2415,2527,0-1,False,False,True,False
140,2425,2297,0-1,False,False,True,False
208,2399,2633,0-1,False,False,False,False
377,2518,2348,1-0,True,False,True,False
343,2564,2526,0-1,False,False,True,False
309,2556,2475,0-1,False,False,False,False
581,2404,2329,0-1,False,False,False,False
173,2567,2443,1/2-1/2,False,False,False,False
139,2460,2554,1-0,False,False,False,False
513,2555,2508,1-0,False,False,False,False
207,2523,2487,0-1,False,False,True,False
342,2697,2726,1-0,False,False,False,False
308,2814,2747,1-0,False,False,False,False
206,2391,2582,1-0,False,False,False,False
138,2531,2487,1-0,True,False,False,False
376,2221,2584,1-0,True,False,False,False
580,2497,2335,0-1,False,False,False,False
172,2451,2584,0-1,False,False,False,False
512,2673,2550,1-0,False,False,True,False
205,2684,2669,0-1,False,False,False,False
375,2556,2301,1-0,True,False,True,False
341,2234,2423,1-0,False,False,False,False
307,2642,2458,1-0,True,False,False,False
579,2289,2585,0-1,True,False,True,False
511,2584,2524,1-0,True,False,False,False
171,2571,2526,1-0,False,False,False,False
137,2611,2273,1-0,False,False,True,True
374,2479,2587,1-0,True,False,True,False
340,2233,2449,0-1,False,False,False,False
306,2539,2380,1-0,False,False,False,False
578,2476,2254,1-0,False,False,False,False
510,2524,2630,0-1,True,False,False,False
170,2412,2213,1-0,False,False,False,False
136,2484,2422,1-0,True,True,True,False
204,2561,2485,0-1,True,False,True,True
765,2462,2522,0-1,False,False,True,False
577,2509,2624,0-1,False,False,True,False
373,2446,2520,1-0,False,False,False,False
339,2503,2627,0-1,False,False,True,False
305,2577,2539,1-0,False,False,False,False
169,2318,2667,0-1,False,False,True,False
135,2453,2422,1/2-1/2,False,False,True,False
509,2429,2379,0-1,False,False,True,False
